id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
2497775,2021-12-28,Yeni tikili,5 / 5,241 m²,6,var,170 000AZN,mülkiyyətçi,Yeni tikil 5 mertebeli binada menzil satilir 5+6 Dubleks menzil birinci mertebesi 126kv ikinci mertebesi 115kv.su isiq qaz dayimidir.bina muasir liftle techiz olunub. Binada qaraj market var KUPÇA VAR sahibi terefinen satilir.,309,"Sabunçu r.
"," Bakıxanov q.
",,,,,,,
2535570,2021-12-28,Yeni tikili,3 / 16,97.6 m²,2,yoxdur,156 160AZN,vasitəçi (agent),"Pilot Layihe

Nesimi Rayonu Koala Parkin Yaxinliqi Henife Elesgerov ve Suleyman Rustem Kucelerinin Kesiwmesi Pilot Layihe ile inwaa olunmuw Yeni Tikili 16mertebeli binanin 3cu mertebesi 2otaqli 97.6 kvadrat Temirsiz (Podmayak) Menzil Tecili olaraq Wirket Qiymetinden Ucuz Satilir Etrafli melumat ucun zeng edin firmanin xidmet haqqi 1faiz tewkil edir",28,"Nəsimi bazarı 
"," Koala parkı 
"," Park Zorge 
"," Dostluq kinoteatrı 
"," Nəsimi r.
",,,,
2535569,2021-12-28,Yeni tikili,3 / 16,90 m²,2,var,230 000AZN,mülkiyyətçi,"Nesimi rayonu,28 may yaxinliginda Dilare eliyeva kucesinde yerlesen 16 mertebeli binanin 3 cu mertebesinde 90 kv qanuni 2 otaqli orta temirli menzil satiram binada tam yasayis movcuddur binada qaz su isiq sistemi daimidir binanin 24 saad muhafize olunan geni heyeti yer alti qaraji usaq baxcasi usaq oyun parki yuksek suretli internet bina infrastruktur cehetden cox elverisli yerde yerlesir,etrafinda market,mekteb,usag baxcasi,restoranlar,kafeler,banklar,aftobus dayanacaqi var 
QEYD: Kupca var",23,"Səməd Vurğun parkı 
"," 28 May m.
"," Nəsimi r.
",,,,,,
2535568,2021-12-28,Yeni tikili,4 / 17,122 m²,3,var,160 000AZN,vasitəçi (agent),"Pilot Layihe 
Nerimanov Rayonu Werq Bazari Tehsil Nazirliyi Yaxini Yeni Tikili Qazli Yawayiwli Kupcali 16mertebeli binanin 4cu mertebesi 3otaqli 122 kvadrat Tecili olaraq Deyerinden Ucuz Qiymete Satilir.Etrafli Zeng edin Firmanin xidmet haqqi 1faiz Tewkil edir",45,"Təhsil Nazirliyi 
"," Nərimanov r.
",,,,,,,
2535567,2021-12-28,Köhnə tikili,5 / 9,60 m²,2,var,89 999AZN,mülkiyyətçi,Xetai rayonu.N.Tusi kucesi bina 2 de 9 mertebeli binanin 5 ci mertebesinde super temirli 2 otaqli ev Tecili satilir.Ev orta blokda yerlewir.Temirden sonra yawayiw olmayib. Butun Infrastrukturlara Mekteb.Uwaq baxcasi market Metro dayanacaq ve.s yaxindir. Evin merkezi istilik sistemi var. Ev Parkin ustunde yerlewir.Eve parkin icindende kecmek olur.Erazi cehetde temuz havaya malikdir.Ehmedlinin merkezidir.Ev oz evimdir.Senedi cixariwdi ( Kupca).qeydiyatda hec kim yoxdu.,26,"Əhmədli m.
"," Xətai r.
"," Əhmədli q.
",,,,,,
2535566,2021-12-28,Köhnə tikili,3 / 5,50 m²,2,var,78 000AZN,vasitəçi (agent),"Tecili...3-cu Mkr dairesine yaxin,Wakikile uzbeuz heyetde 2 otaqli fransiz layiheli menzil.Menzil ela temirlidir,orta blokdur,pol parket,metbex mebeli ve butun esyalarla birlikde satilir.",61,"Memar Əcəmi m.
"," 20 Yanvar m.
"," Nəsimi r.
"," 3-cü mikrorayon q.
",,,,,
2535564,2021-12-28,Yeni tikili,5 / 7,70 m²,2,var,110 000AZN,vasitəçi (agent),"HÖRMƏTLİ MÜŞTƏRİLƏR !!!
YENİ İLƏ ENDİRİMLƏ MƏNZİLLƏR ALIN!!!
ÇOX ÇOX TƏCİLİ DƏYƏRİNDƏN AŞAĞI ƏŞYALI MƏNZİL SATILIR !!!
Nəsimi rayonu, Tərlan şadlıq sarayın yanında yeni tikili, elite yaşayış binasında 7 mərtəbənin 5-ci mərtəbəsində yerləşən 70 kv.m olan qanuni 2 otaqlı super təmirli əşyalı mənzil satılır. Mənzildə pol parketdir, bahalı qapılar, keyfiyyətli aboy ilə təmir olunub. Mənzilin təmirində demək olar ki, çox keyfiyyətli inşaat materiallarından  istifadə olunub. Binada qaz, işıq, su sistemi ilə təchiz olunub. Binanın 24 saat mühafizə xidməti mövcuddur. 
Bina infrastruktur cəhətdən əlverişli yerdə yerləşir, ətrafında market, məktəb,uşaq bağçası,
restoranlar, kafelər, avtobus dayanacağı var.
Xidmət haqqı 1 % dir. QİYMƏT SONDUR!!!
QEYD (KUPÇA VAR, İPOTEKA KREDİTİNƏ YARARLIDIR.)
",23,"Memar Əcəmi m.
"," Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,
2485146,2021-12-28,Köhnə tikili,7 / 9,90 m²,3,var,175 000AZN,vasitəçi (agent),"Yasamal rayonu, Elmlər Akademiyası m/s, Hüseyn Cavid prospekti 34, Avropa Azərbaycan məktəbinin yanında, 9 mərtəbəli  köhnə tikili binanın, 7-ci mərtəbəsində, ümumi sahəsi 90 kv/m olan, 2 otaqdan 3 otağa düzəldilmiş, təmirli mənzil satılır. Sənədləri qaydasındadır. Kupça var. Qazı, suyu, işığı daimidir. Binanın yaxınlığında yaşayış üçün vacib olan bütün lazımı infrastrukturlar mövcuddur. Qiymət 175.000 AZN
",32,"Yasamal r.
",,,,,,,,
2535561,2021-12-28,Yeni tikili,12 / 19,195 m²,4,var,750 000AZN,vasitəçi (agent),"Əziz müştərilər sizə şəhərin mərkəzində super təmirli mənzil təklif edirəm.Səbail rayonu Üzeyir Hacıbəyov küçəsi ( “Port Baku” towersin yanı , Ferrari mağazasının üstündə) Dəniz mənzərli Azinko yaşayış kompleksində 12/19 mərtəbəsində ümumi  sahəsi 195 kv.m olan 4 (rodnoy otaqlı) mənzil satış üçün təklif olunur.Hər otaqdan bir başa dənizə panoraması var.Təmirində istifadə olunun bütün aksesuarlar bahalı və keyfiyyətli materiallardandır.Binanın geniş yeraltı avtodayanacağı var.Təhlükəsizlik 24 saat xüsusi mühafizə nəfəri və müşahidə kameraları ilə təmin olunub bütün giriş çıxışlar, və eləcə də binanın hər mərtəbəsi kamera ilə müşahidə olunur.Sənəd kupca (Çıxarış).Daha ətraflı bizimlə əlaqə saxlayın",23,"Port Baku 
"," Cavanşir körpüsü 
"," Səbail r.
",,,,,,
2535560,2021-12-28,Yeni tikili,16 / 18,96 m²,3,var,260 000AZN,vasitəçi (agent),"Renessans Palace, Premium tipli yaşayış kompleksi, 18/16, 2 otaqdan 3 otaqlıya düzəlmə mənzil satılır. Mənzil çox yüksək səviyyədə təmir olunub və bütün otaqlarda pəncərə var. Bina infrastruktur olaraq çox yaxşı yerdədir. Binanın 20000 kv yaxın həyəti, çox böyük yaşıllıq sahəsi, uşaq əyləncə parkı var. Ofisin xidmət haqqı alıcı tərəfindən 1% təşkil edir. ",113,"Yasamal r.
"," Yasamal q.
",,,,,,,
