id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
2562277,2022-01-13,Köhnə tikili,1 / 9,80 m²,4,yoxdur,183 000AZN,mülkiyyətçi,"183.000 AZN. 1ci mertebe oldugundan arxa terefde bag yerleshir.Heyetde her sherait var. Mini hovuz,gul ve agaclar var.Zirzemi temir olunub. 2otaq,hamam ve sanitar qovshaq,qaz ve su var. Kupca var. Tecili satilir",12,"Zərifə Əliyeva adına park 
"," Nəsimi m.
"," Binəqədi r.
"," 6-cı mikrorayon q.
",,,,,
2562276,2022-01-13,Köhnə tikili,2 / 9,54 m²,2,var,76 000AZN,mülkiyyətçi,"Orta təmirli hər şəraiti var,3 otağa rahat kecirmək olur",65,"Əhmədli m.
"," Xətai r.
"," Əhmədli q.
",,,,,,
2562274,2022-01-13,Köhnə tikili,2 / 5,80 m²,3,var,173 000AZN,vasitəçi (agent),"Gənclik, 5 mərtəbəli daş binanın 2-ci mərtəbəsində  əlavə tikili sayəsində  planirovkası tam dəyəşdirilmiş geniş və rahat 3 otaqlı mənzil satılır. Mənzil yelçəkəndir, ağaclar olan  geniş və sakit həyətə mənzərəsi var. Mənzildə kombi sistemidir, qaz, su , işıq daimidir. Bina infrastruktur cəhətdən çox əlverişli ərazidə yerləşir, H.Əliyev küç., Atatürk pr. və Gənclik m/st çıxışı var. Ətrafında məktəb, uşaq bağçası, universitet, klinikalar, banklar, restoranlar, mağazalar, parklar, ticarət və digər iaşə obyektləri var. ",14,"Gənclik m.
"," Respublika stadionu 
"," Nərimanov r.
",,,,,,
2562273,2022-01-13,Yeni tikili,14 / 17,155 m²,4,var,390 000AZN,vasitəçi (agent),"🔹S A T I L I R
📍Ünvan : Elmlər metrosunun yanında. Zahid Xəlilov küçəsi 

• Növ : Yeni tikili
• Mərtəbə : 14/17
• Otaq : 4 otaq
• Sahə : 155 m²
• Təmir : Əla təmirli
• Sənəd : Müqavilə

• Qiymət : 420.000 Əşyalı
390.000 Əşyasız

• Qeyd : Mənzildə təmirdən sonra çox yaşayış olub. Əşyaların hamısı yenidir. Mənzildə Qaz, su, işıq daimidir, istilik sistemi Kombidir. 

Qorxmaz Bəy
",38,"Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,
2562272,2022-01-13,Yeni tikili,5 / 6,280 m²,7,yoxdur,270 000AZN,vasitəçi (agent),Təcili Satilir! Yeni Bulvarla və Su oyunlari sarayi ile  üzbə-üz.Elit tam yawayiwli kompleksde 6 mərtəbəli binanin 5 və 6 ci mərtəbəsində duplex tipli. mənzərəli ümumi sahəsı 280 kv.m olan təmirsiz mənzil satilir.LİFT Quraşdirmag olur.quraşdiriblar həmin binalarda.qarşisinda bina yoxdur böyük üstünlüyüdə elə budur.mansardin hündürlüyü 7 metrdir.3 mərtəbədə eləmək olar.mənzilin sənədi muqaviledir Amma alan adamin adina birbawa cixariw verilecek..Xahiş olunur real alici narahat etsin.xidmət haqqi 1 %təşkil edir.,16,"Səbail r.
"," Bayıl q.
",,,,,,,
2562268,2022-01-13,Yeni tikili,11 / 13,107 m²,2,var,185 000AZN,vasitəçi (agent),"TECILI SATILIR !!!
DEYERINDEN ASAGI QIYMETE SATILIR !!!

Menzil yerlewir Nerimanov rayonunda zooparkin yaninda dede qorqud parki yaxinliginda yeni tikili binada ev satilir.
Evin altinda aptek market ve yaninda park var.105 kv 2 otaq 1 boyuk kuxna 
Weher menzereli balkonu var 2 tualet bir hamami var
Menzil mebelleri ile birlikde satilir
Menzilin cixariwi ( kupca ) vardir
Menzil etrafi yawayiw ucun vacib olan butun infrastruktur obyektleri vardir
Ve daniwiq esnasinda qiymetde mueyyen endirim olacaq 
Elave melumat ucun buyurub elaqe saxlaya bilersiniz
Ofis haqqi 1% tewkil edir",37,"Zoopark 
"," Dostluq kinoteatrı 
"," Koala parkı 
"," Nərimanov r.
",,,,,
2562267,2022-01-13,Yeni tikili,2 / 12,95 m²,2,var,144 999AZN,vasitəçi (agent),"TƏCİLİ!!!!

Səbail rayonu, Badamdar qəsəbəsi, Bizim marketin yanında, yeni tikili 12 mərtəbəli binanın, 2ci mərtəbəsində, ümumi sahəsi 95 kvm olan, qanuni 2 otaqlı, tam təmirli mənzil satılır. Mənzilin kupçası var. Mənzildə qaz, su, işıq daimidir. Mənzilin 2 eyvanı var. Mənzilin istilik sistemi kombidir. Binanın geniş həyəti var. Ətraflı məlumat üçü əlaqə saxlaya bilərsiniz. 

ŞİRKƏTİN XİDMƏT HAQQI 1%",18,"Səbail r.
"," Badamdar q.
",,,,,,,
2562266,2022-01-13,Köhnə tikili,1 / 9,80 m²,4,var,160 000AZN,vasitəçi (agent),"✔Elimler Akademiyasi Metrosu, Baki Dovlet Universitetine yaxin 
✔Ekspermental Lelinqrad
✔Binanin gozel heyeti var
✔menzilin qarsisinda ozune mexsus bag kimi yer var, qarsisin artirmaq olar.
✔geleceyine ofis kimi ve ya  obyekt etmek ucun ela variantdir.
✔ipotekaya tam yararlidir. 
Diger melumatlar ucun zeng edin. ",44,"Elmlər Akademiyası m.
"," Bakı Dövlət Universiteti 
"," Yasamal r.
",,,,,,
2562265,2022-01-13,Köhnə tikili,2 / 6,43 m²,2,var,112 000AZN,vasitəçi (agent),Yasamal Rayonu  Mədəniyyət və İncəsənət Universitetinin yanı Olimp maqizininə yaxın 6 Mərtəbəli Eksperimental lifti olan binada təmirli mənzil satılır . İstilik mərkəzidir . Mənzil yeni təmirdən cıxıb,21,"İncəsənət və Mədəniyyət Un. 
"," Dövlət Statistika Komitəsi 
"," Elmlər Akademiyası m.
"," Yasamal r.
"," Yasamal q.
",,,,
2562264,2022-01-13,Yeni tikili,15 / 17,80 m²,2,yoxdur,165 000AZN,vasitəçi (agent),Metro Nərmanovda Elit binada super təzə Bahalı təmirli ev satışa çıxarılıb. Mebelleri də qalir. qaz verilib yaşayış var binada.mərmər olan yerlər isti pol. ,45,"Nəriman Nərimanov parkı 
"," Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,
