id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
1917244,2021-09-29,Köhnə tikili,5 / 5,46.3 m²,2,var,50 000AZN,mülkiyyətçi,"Sumqayıt 8. Mikrorayonda gözəl yerdə gözəl ev. Məktəb və baxçaya 2 dəqiqəlik məsafədə. 2 otaqlı, təmirli. (hamam tuvaleti ayrı) 
Təmiz, Səliqəli evdir. Hər şəraiti var. Öz  evimdir. Maklerlər narahat etməsin. Qiymətdə razılaşmaq olar. 
",20,"Sumqayıt
",,,,,,,,,
2370134,2021-09-29,Yeni tikili,15 / 17,110 m²,3,yoxdur,260 000AZN,vasitəçi (agent),"QAZLİ yeni tikili Nərimanov metrosunun yaninda,Metroparkin qarşisinda yerləşir,mənzil yuksək keyfiyətlə təmir olunub,şəhərə gozəl mənzərəsi var,mənzilin çox gozəl planirovkasi var,kvadratura mənzilin içində olduqu uçun otaqlar çox genişdir,istilik sistemi kombi,2surətli lift,geniş həyət,2mərtəbə yeralti qaraj,24saat muhafizə və kamera muşahidəsi,və s.Təmirdən sonra yaşayiş olmayib.

Газифицированный,заселенный комплекс,расположен около метро Нариманова,напротив Метропарка,с идеальной планировкой,комнаты светлые и широкие,суперремонт,отопительная система комби,супер-понарама на город,2лифта,2х этажный подземный гараж,круглосуточная охрана и видеонаблюдения,т.д.После ремонта не жили.",31,"Nəriman Nərimanov m.
"," Nəriman Nərimanov parkı 
"," Nərimanov r.
",,,,,,,
2370131,2021-09-29,Yeni tikili,3 / 10,136 m²,3,var,172 000AZN,mülkiyyətçi,24 saat muhafize.ev esyasiz satilir.ela temirli yelceken menzildir.qaz su ishiq fasilesiz.Kupça var,26,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
2370129,2021-09-29,Köhnə tikili,8 / 9,90 m²,3,var,105 000AZN,vasitəçi (agent),"IPATEKAYA YARARLIDIR... Yeni Yasamalda Esed Ehmedov kucesinde 77 Nomreli avtobusun son dayanacaginda 9 mertebeli  binanin 8 ci mertebesinde Orta blokda radnoy 3 otaqli Super temirli Gir yasa menzil Bezi esyalari ile birlikde satilir + Blokda qladofqasi da var ..Binada qaz su isiq daimidir yaninda , mektebler , baxcalar ,marketler var..Real aliciya endirim olacaq..OFIS HAQQI 1%",577,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
2370128,2021-09-29,Yeni tikili,15 / 16,107 m²,2,var,185 000AZN,mülkiyyətçi,"Xahiş edirəm agentliklər narahat etməsin!
Çıxarışlı (kupcalı) və qaz ilə təmin olunmuş Şəhərin tam mərkəzində, Neptun marketin üstü,Xətai metrosunun yanında Nəcəfqulu Rəfiyev küçəsində yerləşən 15\16 mərtəbədə yerləşən 2 otaglı 107 kv.m. (mətbəx ayrıdır) yeni tikili mənzil satılır.Mənzil Tam Təmirlidir :
✔parket
✔duş kabin ilə təmin olunmuş sanitar govşag
✔3 ədəd split kondisioner
✔her bir otagda kombi sistemi ilə təmin olunub
✔ Şəhərə gözəl panoramalı eyvan
✔ Uşaqlar üçün nəzərdə tutulmuş böyük meydança
✔ Yeraltı dayanacag (parking)
✔ Qaz,Su,İşıq daimidir
✔ Çixarış (kupca)
✔ Bina məktəbə , baxçaya , aliş veriş mərkəzinə, istirahət parkina yaxin yerdə yerləşir. Bina 24 saat muhafize xidmeti,kodlu qapi və muhafizə sistemi ilə təmin olunub. 2 suretli lifti parkinq,
✔16 mərtəbəli binanın 15-ci mərtəbəsində mənzil ",25,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
2370127,2021-09-29,Yeni tikili,9 / 18,227 m²,4,var,275 000AZN,vasitəçi (agent),"Hənifə Ələsgərova küçəsində yerləsən yeni tikili binada 18/9 mərtəbəsində ümumi sahəsi 227 kv. olan 4 otaqli pod mayak mənzil satilir. Bina yaxinliqinda məktəb, baxca, marketlər yerləsir .Bir sozlə cox əlverisli ərazidə yerləsir.Yuksək səviyyəli infrastruktura malik ərazidə yerləsir. Koroğlu parkinin yaxinliginda yerləsir.",34,"Koala parkı 
"," Dostluq kinoteatrı 
"," Zoopark 
"," Nəsimi bazarı 
"," Nəsimi r.
",,,,,
2370126,2021-09-29,Yeni tikili,3 / 16,165 m²,4,var,410 000AZN,mülkiyyətçi,"Tehsil nazirliyi, gûnaydin restoraninin yaninda 16/3 ela temirli 4 otaq,1qorderob,2 sanuzelden ibaret ev satilir. Sexsi evimdir. Ewyali 410.000. Ewyasiz danisiq yolu ile.",20,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
2370121,2021-09-29,Köhnə tikili,4 / 9,90 m²,3,var,97 000AZN,vasitəçi (agent),"ELIMYANDI VARYANT...Yeni Yasamalda Bizim marketin  yaninda 9 mertebe LELINQRAD layiheli binanin 4 cu mertebesinde Orta blokda 3 otaq Skvaznoy boyuk balkonlu menzil cox tecili satilir Binada qaz isiq su daimidir sened kupcadir Ipotekaya yararlidir xahis olunur ciddi wexsler elaqe saxlasin...OFIS HAQQI 1%
",734,"Yasamal bazarı 
"," İnşaatçılar m.
"," Yasamal r.
"," Yeni Yasamal q.
",,,,,,
2370117,2021-09-29,Yeni tikili,12 / 13,70 m²,3,var,115 000AZN,vasitəçi (agent),"Hezi Aslanov metrosundan 5deq mesafede, Yeni Tikili binada, ela temirli her bir sheraiti olan menzil satilir. Binada qaz var, menzil kupchalidir. 13/12, 3 otaqli (2den 3e duzelme), 70 kv.m. Menzilde olan eshyalarin bir hissesi menzilde saxlanilacaq ve qiymete daxildir. Qiymet 115000Azn. Real aliciyla menzile baxildiqdan sonra yekun qiymet danishilacaq. Alici terefinden odenilecek ofis haqqi 1faiz teshkil edir.",25,"Həzi Aslanov m.
"," Xətai r.
",,,,,,,,
2370113,2021-09-29,Yeni tikili,14 / 16,104 m²,2,var,145 000AZN,mülkiyyətçi,"N.Nərimanov r-nu, Qarabağ küç. yerləşən Premium klass yeni tikilidə 16/14 mərtəbə 
2 otaqlı, 104 kv/m (Texniki Pasport) mənzil satılır.  Təhsil Nazirliyi, Şərq-Yaşıl bazari yanındadır.
Binanın 70-80% yaşanılır, ona görədə binaya qaz verilib və liftlərin hər 2-si işləyir. Həmçinin, binanin altında işlək Araz market, Aptek və s. obyeklər var. Cox yaxınlıqda məktəb və uşaq baxçası var.
Mənzil Skvaznoydu, 2 Sanitar Qovşağı var(ümümi və yataq otağında). Qonaq otağı Panoramadır, pəncərəsi iki tərəfə baxır. Tavan 3.45 m. hündürlükdədir. Mənzilin 3 ədəd sayğacların pullarını ödəmişəm (1500azn), hecbir borcu yoxdur!
Bina, həqiqətən cox keyfiyyətli tikilib!!!

0.4 hektar həyəti
OTİS markalı liftlər
Alman markası SCHUCO pəncərələri
Mənzil giriş qapı ÇELİK KAPI Türkiyə
2 mərtəbəli parkinq
24 saat mühafizə

Mənzilin KUPÇASI var, Asan xidmətindən birneçə gündür almışam.!!! İPOTEKA mümkündür! 
Mənzil mənimdir, makler deyiləm.",415,"Şərq bazarı 
"," Təhsil Nazirliyi 
"," Nərimanov r.
",,,,,,,
