id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
2401643,2021-10-18,Yeni tikili,10 / 12,134 m²,3,var,138 000AZN,vasitəçi (agent),Tecili ! Yeni Yasamal Vital Klinikanin yaninda Yeni tukili binada ipotekaya yararli orta blokda yerlesen /yelceken/  80% temir olunmus gozel proekti olan menzil satilir . ,352,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,
2406423,2021-10-18,Yeni tikili,3 / 9,59 m²,1,var,67 500AZN,vasitəçi (agent),"Yeni Yasamalda Məhəmməd Xiyabani kəçəsində Bravo supermarketinin yerləşdiyi 9 mərtəbəli yeni tikili binanın 3-cü mərtəbəsində ümumi sahəsi 59 kv/m olan pod mayak 1 otaqlı mənzil satılır. Mənzilə dair sənədlər qaydasındadı,çıxarışı var. Binanın ətrafında məktəb, uşaq baxçası, park, marketlər və digər iaşə obyektləri mövcüddu.",56,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,
2370215,2021-10-18,Yeni tikili,4 / 18,135 m²,3,var,146 000AZN,vasitəçi (agent),"Nəsimi rayonu Ə.Hüseynov kücəsi Nəqliyyat Nazirliyin qarşısında Bolmartın arxasında ,elit və yaşayışlı yeni tikilidə 2 otaqlı TƏMİRSİZ mənzil satılır. Mərtəbə 18/4. Ümumi sahəsi 135 kv/m. Əla planlaşdırılma.1 sanuzel və 2 eyvan. Binada yaşayış var. Binada Qaz var. 2 sürətli Lifti, mühafizəli bina, geniş həyəti, yeraltı Parkink. (CİXARİŞ-KUPCA).Qiyməti 146 000 AZN.

В Насиминский районе по улице И.Гусейнова напротив Министерство Транспорта за маркетом Болмарт продается 2 комнатная квартира. Отличная планировка. Этаж 18/4. Общая площадь 135 кв.м. Отличная планировка. Имеются 2 санузел и 2 балкон. Имеется ГАЗ. Два скоростных лифта. Охраняемый дом, большой двор, подземный паркинг. Цена 146 000 АЗН.",15,"Bakı Asiya Universiteti 
"," 8 Noyabr m.
"," Nəsimi r.
",,,,,,
2406421,2021-10-18,Yeni tikili,9 / 16,44 m²,2,var,85 000AZN,vasitəçi (agent),"1 otaqdan 2 otaqa düzəlmə
9 mikrnda AMK da
16/9 mərtəbəsi
44 kv sahəsi var
Əşyaları ilə satılır
Kupçası var
Ofis haqqı 1 %
",48,"Zərifə Əliyeva adına park 
"," Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,
2406420,2021-10-18,Yeni tikili,12 / 23,178 m²,4,yoxdur,235 000AZN,mülkiyyətçi,"FIRMALAR ZENG VURMASIN!!!
Tecili satilir!
Tbilisi pr. Neqliyyat Nazirliyinin yaninda QRAND HAYAT-,Yawayiw kompleksinde -12 mertebe-178 k.m.-""pod mayak""-, menzil satilir.
Binada yawayiw var,butun kommunikasiya xettleri cekilib ,4 eded suretli lifti,yeralti qarawi ve geniw heyeti var.
Senedi-Muqavile
Qiymeti-235 min.man.
",1038,"Yasamal r.
"," Yasamal q.
",,,,,,,
2406419,2021-10-18,Köhnə tikili,1 / 5,48 m²,2,var,68 000AZN,vasitəçi (agent),"Cox Tecili satilir,elave melumat ucun zeng vurun,ela temirli,otaqlar 33 lerdendi yeniki 33kv dir, Ecemi m da en boyuk otaq KV di,bilen bilir,bilmeyen maraqlansin,bawqa satilan 2 otaqlar 27kv olur, Ecemi m 3-4 deq mesafe,kombi var,metbex mebeli qalacaq,geniw heyete malikdi,3 orta mekdeb var yaninda",52,"Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,
2404024,2021-10-18,Yeni tikili,1 / 20,98 m²,2,var,90 000AZN,vasitəçi (agent),"TƏCİLİ ! SATILIR, 3 Otağa düzəltmək mümkündür. Xətai Park yaşayış kompleksi Premium klass. yüksək səviyyəli tikinti şirkəti. Bina tam hazırdı, suyu, qazı, işığı daimidir. Binanın geniş həyəti, 5 mərtəbəli parkink var. Binada 24 saat mühafizə xidməti, böyük supermarket(bravo), fitnes, uşaq baxçası, restoran və müxtəlif xidmət sahələri fəaliyyət göstərəcək. Təcili satıldığı üçün real qiymətdən aşağı təklif olunur. Çıxarışı hazırdı.",15,"Xətai r.
"," Əhmədli q.
",,,,,,,
2406416,2021-10-18,Yeni tikili,11 / 24,156 m²,3,var,175 000AZN,vasitəçi (agent),"Xətai metrosu,BƏM yaninda yeni tikili binada 3 otaqli mənzil satilir.QAZ,KUPÇA var.Mənziltəmirsizidir-pod mayak.Üm.sah.156 kv.m,mərtəbə 11/24.Lift,avtomobil dayanacagi var.(kod309)",54,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,
2402285,2021-10-18,Yeni tikili,3 / 5,145 m²,4,var,165 000AZN,vasitəçi (agent),"Bakı şəhəri, Səbail rayonu, Su İdman Sarayının ilə Yeni Bulvarın yanında, UluBəy Yaşayiş kompleksi ekoloji baxımnan əlverişli ərazidə, keyfiyyətli inşa olunmuş 5 mərtəbəli yeni tikilmiş binanın 3-cü mərtəbəsində, ümumi sahəsi 140 kv- m olan, 4 otaqlı TƏMİRSİZ mənzil satılır.Binada tam olaraq yaşayış var, 24 saat mühafizəsi, həyətdə uşaq və böyüklərin dincəlməsi üçün şəraiti var. Binanın yanından şəhərin istənilən nöqtəsinə avtobus çalışır. Mənzilin sənədi (çıxarış ). Əlavə məlumat almaq üçün göstərilən nömrəyə zəng vurun.Qiymət 165 000 Azn.",19,"Səbail r.
"," Bayıl q.
",,,,,,,
2406415,2021-10-18,Yeni tikili,7 / 16,120 m²,3,yoxdur,218 000AZN,vasitəçi (agent),"
Seherin merkezinde Yeni tikili binada Yeni temirden cixib, yasayis olmuyub.Daimi qazi,suyu,isigi var.Bina prestijli binadi merkeze 2deqiqelik mesafededi.Binada 2eded sessiz suretli Sigma lift var",51,"Təhsil Nazirliyi 
"," Nərimanov r.
",,,,,,,
2406413,2021-10-18,Yeni tikili,4 / 16,172 m²,4,var,163 500AZN,vasitəçi (agent),"ƏLA TƏKLİF !! 
QAZ+SU+İŞIQ var hamısı.
Binada 30 faiz yaşayış var.

Nİzami rayonunda Məlhəm hospital (L.Davinçi adına) və 220 saylı litesy yaxın , yenicə təhvil verilmiş ""NİZAMİ RESİDENCE"" binasında qanuni radnoy 4 otaqlı mənzil təcili olaraq satışa çıxarılıb. Mənzil yelçəkəndir. Evdə 3 hamam-tualet var. Otaqlar geniş və kvadratır.Hər blokda 3 müassir lift var. Uşaqlar üçün həyəti, maış saxlamaq üçün addelni parkingi var .

Yazılan kvadrat mənzilin içdən içə olan kvadratıdır. 
Başqa binalarda satılan 200 kvadrat ev bu mənzilə bərabərdir. 

Bu mənzili 100 eşitməkdənsə 1 görmək sizin xeyrinizə olacaq ;)

Qiymət:165.000 (endirim olunacaq real alana)
Ofis xidmət haqqı 1%. 
Allah alanada sata da xeyir versin.
",28,"Neftçilər m.
"," Nizami r.
",,,,,,,
2406412,2021-10-18,Yeni tikili,2 / 16,95 m²,3,yoxdur,125 000AZN,vasitəçi (agent),"95 kvm. TƏMİRLİ mənzil!!! əlavə 60 kvm.TERRAS sahəsi. CASPİAN PARK YAŞAYIŞ MƏRKƏZİ!!!
8 Noyabr prospekti (Zığ Şossesi) yeni açılmış Gənclik parkı ilə üzbəüz
16 mərtəbəli möhtəşəm binanın 2-ci mərtəbəsində
3 otaqlı mənzil satılır.
Mətbəx studio dizaynında nəzərdə tutulub.
Mənzil yeni təmirlidir.
Təmirdən sonra yaşayış olmayıb.
Otaqlar və dəhliz genişdir.
Su,işıq,qaz daimidir.
Bina yüksək keyfiyyətlə inşa olunub.
İnfrastruktur cəhətdən əlverişli əraziyə sahibdir.
Yeraltı qaraj mövcuddur.
2 ədəd müasir standartlara cavab verən lift fasiləsiz olaraq fəaliyyət göstərir.
24 saat mühafizə və kamera nəzarət xidməti sakinlərin rahatlığını təmin edir.
Sənəd müqavilə
Əgər, siz də daşınmaz əmlak almaq və ya satmaq istəyirsinizsə xidmətimizdən istifadə edə bilərsiniz...
Alıcının Kommisiya haqqı 1 % təşkil edəcək.",47,"Xətai r.
",,,,,,,,
2406408,2021-10-18,Yeni tikili,5 / 20,80 m²,2,var,89 000AZN,vasitəçi (agent),"TƏCİLİ ! SATILIR, 2 otaqlı layihəsi əladır. 3 otağa düzəltmək mümkündür.  Xətai Park yaşayış kompleksi Premium klass. yüksək səviyyəli tikinti şirkəti. Bina tam hazırdı, suyu, qazı, işığı daimidir. Binanın geniş həyəti, 5 mərtəbəli parkink var. Binada 24 saat mühafizə xidməti, böyük supermarket(bravo), fitnes, uşaq baxçası, restoran və müxtəlif xidmət sahələri fəaliyyət göstərəcək. Təcili satıldığı üçün real qiymətdən aşağı verilir. Çıxarışı var.",110,"Xətai r.
"," Əhmədli q.
",,,,,,,
