id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
2741128,2022-04-21,Yeni tikili,7 / 16,60 m²,2,var,105 000AZN,vasitəçi (agent),7 mkr Dernegul metrosunun cixisinda Elit park yasayis kompleksi 16/7 mertebesinde 60 kv tam temirli 2 otaqli studiya tipli menzil. Kupca var. 6 metrlik uzun balkonu ayrica kladovka otagi var. Genis heyeti ve usaq parki var.,157,Binəqədi r.7-ci mikrorayon q.
2746012,2022-04-21,Yeni tikili,16 / 20,107 m²,3,var,125 000AZN,vasitəçi (agent),COX COX TECILI:Yeni yasamal esed ehmedov kucesinde 20 mertebeli binanin 16 ci mertebesinde 3 otaqli super temirli 107kv menzil satilir.yaxinliqinda butun iase obyekleri var.xahis olunur real alcilar elaqe saxlasin xidmet haqqi 1% teskil edir.,288,Yasamal r.Yeni Yasamal q.
2690471,2022-04-21,Yeni tikili,11 / 19,82 m²,3,yoxdur,150 000AZN,vasitəçi (agent),"Xətai rayonu, Gəncə prospektində yerləşən, yeni və müasir kompleks olan PANORAMA PARK Yaşayış Kompleksində 3 otaqlı, SUPER TƏMİRLİ mənzil satılır. 2 otaqlıdan 3 otaqlıya düzəldilib (3-cü otaq - şüşədən uşaq otağı). Otaqlardan biri Mətbəx-Studiodur. Mənzil çox gözəl dizayna malikdir. Geniş zal + yataq otağı + uşaq otağı.
Mənzil 19 mərtəbəli yeni tikili binanın 11-ci mərtəbəsində yerləşir. Binada qaz, su, işıq daimi olaraq təchiz olunub. 
Mənzilin ümumi sahəsi 82 kv.m. təşkil edir. 
Sənədi Müqavilədir. İyun-iyul aylarında Çıxarış (kupça) veriləcək.
Bir eyvanı var. Mənzərəsi həyətədir.
ƏŞYALARLA BİRLİKDƏ SATILIR (uşaq otağı mebeli istisnadır) !!!  Mebellərin hamısı Türkiyə  firmalarından alınıb.
B blokunda yerləşir.
",56,Xətai r.Həzi Aslanov q.
2746454,2022-04-21,Yeni tikili,15 / 19,100 m²,3,var,155 000AZN,vasitəçi (agent),"QAZ+KUPCA+TEMIRSIZ... 3 otaqli, 20 Yanvar m/s, pr.Tbilisiden de qirisi olan, metbex mebeli ile, “Melissa Park” ve ASP-mtk Yaşayış Kompleksində Qaz-ı və Kupçası olan, 19- Mərtəbəli yeni tikili binanın 15-ci mərtəbəsində, ümumi sahəsi 100 kv.  təmirsiz  mənzil satılır. Bu menzil tam temirsizdir ve sirket satdiqi temirsiz menzilin qiymetinden asaqi satilir. Binada 3 sürətli lift, 24 saat mühafizə xidməti, yeraltı dayanacağı və s.var. Binanın yaxınlığında üzgüçülük hovuzu, trenajor zalı, supermarket, orta-özəl-ali məktəblər,uşaq bağçaları,liseylər, avtobus dayanacaqları və s. yerləşecek.",32,20 Yanvar m.Yasamal r.
2737015,2022-04-21,Yeni tikili,13 / 18,54 m²,2,var,94 500AZN,vasitəçi (agent),"Qaz,kupcalı  ev  təcili  satılır  ,1  otaq 2  düzəlib kuxna zal  studiya,1 
yataq ,1  sanuzel , qaz,kupca ,istilik  konbi  ,kuxna  mebeli ,aksesuar türkiyə, taxta  polu  üstən  laminat , qeydiyyatda  hec  kim  yox ,alqı satqıda  ev  təfil  verilir  , metro  inşatcılar yeni  yasamal  Bravo ,Bazarstor üstü  18/13-  orta  blok  , 2  lift ,parkovka  qarac , Şərur mtk , həyət  mühafizəsi  ,tam  yaşayış  olan  bina ,evdə  yaşayış  olmayıb,2  acıq  balkon  ,kupcada  47  kv.m ,müqavilə 54  olub ,   satılır,ipoteka təklifi   kecikməsə  olar  ,sənət  tam  hazırdır alqı  satqıya .yaşayış  olmayıb .Nataryosda  acarlar  təfil  verilir .",4113,İnşaatçılar m.Yasamal r.Yeni Yasamal q.
2746453,2022-04-21,Yeni tikili,3 / 10,242 m²,4,var,1 280 000AZN,mülkiyyətçi,"Bakının tam mərkəzinin gözəl bir hissəsində yerləşən «CENTRAL RESIDENCE» premium memarlıq binasında əzəmətli çoxillik ağacları və fəvvarələri olan Sahil parkına möhtəşəm mənzərəsi olan günəşli, hündür vitraj pəncərəli dörd otaqlı mənzil satılır.

Mənzilin təmirsiz olmağı, yeni sahibinə öz zövqünə görə premium təmir etməsi üçün bir fürsət şəklində üstünlük verir.

▼ Əsas üstünlükləri:
✓ Yüksək keyfiyyət standartlarına uyğun və tikintisində premium materiallardan istifadə olunan az mərtəbəli unikal yerləşmə mövqesi olan yeni tikili bina
✓ Evin qarşısında gözəl böyük park
✓ Evin ətrafında mənzərəni poza bilən yeni tikililər riskinin olmaması
✓ Öz zövqünüzə uyğun təmir etmək imkanı
✓ Avtomobil istifadə etmədən çox saylı müxtəlif marşrut seçimi
✓ Mənzildən Sahil Parkına möhtəşəm bir mənzərə açılır
✓ Unikal bir görünüş verən hündür vitraj pəncərələr
✓ Paytaxtın tam mərkəzində binanın unikal VIP yeri
✓ Dənizkanarı Bulvarının mərkəzi hissəsindən, Fəvvarələr meydanından, Nizami küçəsindən, Molokan bağı və şəhərin digər mərkəzi görkəmli yerlərindən bir neçə addım
✓ Binanın üzlənməsində İtalyan mərməri istifadə olunub
✓ Binada KONE markasının lüks model liftləri quraşdırılıb
✓ Mənzillər gözəl görünüşlü seyf qapılar ilə təchiz edilmişdir
✓ Mənzilin mərtəbəsindəki salonun misilsiz müəllif bəzəyi
✓ Yüksək dərəcəli səs izolyasiyası olan şüşələrdən yüksək keyfiyyətli İtalyan paket pəncərələr
✓ Çox rahat bir tərtibatı olan yelçəkən mənzil
✓ Otaqların günəş işığı ilə mükəmməl işıqlandırılması
✓ Möhtəşəm iki mərtəbəli yeraltı dayanacaq

▼ Yerləşmə mövqeyi:
📍Axundov kitabxanası
📍Uşaq baxçaları, Orta və Ali təhsil mərkəzləri
📍Mədəniyyət və incəsənət mərkəzləri
📍Sahil bağı və metrosu
📍Bank filialları (Kapital bank, Beynəlxalq bank, Unibank, Bank Respublika)
📍Notariat kontorları
📍Tibb mərkəzləri
📍Azercell və Bakcell müştəri xidmətləri
📍Continental və Bravo supermarketləri
📍Çox saylı kafe, restoran və butiklər

-------------------------------------
В премиальном архитектурном доме, расположенном в прекрасной части самого центра Баку, продаётся солнечная четырехкомнатная квартира с высокими витражными окнами и великолепным видом на парк Сахиль с величественными многолетними деревьями и фонтанами.

Квартира без ремонта, даёт преимущество, в виде возможности владельцу сделать премиальный ремонт по своему вкусу.

▼ Преимущества:
✓ Новое здание с небольшим количеством этажей и уникальной локацией, построенное с учётом высоких стандартов качества и использованием премиальных материалов
✓ Прекрасный большой парк у дома
✓ Отсутствие риска новых застроек перед домом и изменения панорамы
✓ Есть возможность сделать ремонт по своему вкусу
✓ Большой выбор разных маршрутов для пеших прогулок и отсутствие необходимости использования автомобиля
✓ Квартира имеет потрясающий вид на парк Сахиль с многолетними высокими деревьями и фонтанами
✓ Высокие витражные окна, дающие уникальный обзор панорамы 
✓ Уникальное ВИП месторасположение дома в самом центре столицы
✓ В нескольких шагах от центральной части Приморского бульвара, Площади фонтанов, улицы Низами, молоканского садика и других центральных достопримечательных мест города
✓ В облицовке здания использован итальянский мрамор
✓ В доме установлена люксовая модель лифтов KONE
✓ В квартирах установлены презентабельные входные сейфовые двери 
✓ Люксовая отделка парадных холлов дома
✓ Уникальная авторская отделка холла на этаже квартиры
✓ Высококачественные итальянские стеклопакеты со стёклами с высококлассной шумо-изоляцией 
✓ Сквозная квартира с удобной планировкой
✓ Отличное освещение комнат первым светом 
✓ Великолепный двухэтажный подземный паркинг

▼ Ориентиры:
📍Ахундовская библиотека
📍Детские сады, Средние и Высшие учебные заведения
📍Культурные центры
📍Парк и метро Сахиль
📍Филиалы банков (Капитал банк, Азербайджанский Международный банк, Юнибанк, банк Республика)
📍Нотариальные конторы
📍Медицинские центры
📍Центры обслуживания Azercell и Bakcell
📍Супермаркеты Continental и Bravo
📍Большое количество кафе, ресторанов и бутиков",1169,Sahil m.Malokan bağı Sahil bağı Nizami kinoteatrı Xalça Muzeyi Pedaqoji Universiteti Milli Konservatoriya Səbail r.
2746452,2022-04-21,Köhnə tikili,7 / 9,81 m²,3,var,101 000AZN,vasitəçi (agent),"Xalqlar Dostluğu metrosu Siyaqut Şadlıq Sarayının yanında 
3 otaqlı LENİNQRAD layihəli 
TƏMİRSİZ mənzil satılır.
Mərtəbə 9/7 .
Orta blokda yerləşir.
Yelçəkəndir.
Sənəd Çıxarış-Kupça
Əgər, siz də daşınmaz əmlak almaq və ya satmaq istəyirsinizsə xidmətimizdən istifadə edə bilərsiniz...
Alıcının Kommisiya haqqı 1 % təşkil edəcək.",12,Xalqlar Dostluğu m.Nizami r.
2675621,2022-04-21,Yeni tikili,3 / 16,180 m²,3,yoxdur,250 000AZN,vasitəçi (agent),"KUPÇALI + QAZLI BİNA!
Qanuni 3 otaq (mənzil çox genişdir və 4 otağa birinci işıq pəncərə ilə peredelka olur) !!!
Nəsimi rayonu, Koroğlu parkının yanında, Adore marketin yerləşdiyi 17 mərtəbəli binanın, 3-cü mərtəbəsində, 3 otaqlı 180 kv.m. pod mayak mənzil satılır.
Mənzil 3 eyvan, 3 sanuzel, 2 yataq otağı, 1 qonaq otağı və mətbəxdən ibarətdir.
Binanın 2 girişi var.
3 sürətli lift.
Binanın yaxınlığında 4 park var: (Dədə Qorqud parkı,Koroğlu parkı, Koala park və Zorge parkı ).
İnfrastruktur cəhətdən əla yerdə yerləşir.
Xidmət haqqı 1 % təşkil edir.",429,Koala parkı Nəsimi bazarı Dostluq kinoteatrı Zoopark Nəsimi r.
2746449,2022-04-21,Yeni tikili,18 / 18,105 m²,2,var,104 000AZN,vasitəçi (agent),"TECILI !!!!! MANSAR DEIL !! LIFT MENZILE QALXIR !  QAZ+KUPCALI !!!! Ipotekaya yararli !  Nizami rayonu Neftcler metrosuna yaxinliqda Inci usaq bagcasinin yaninda Qanuni 2 otaqli menzil satilir ! 
binada qaz su isiq daimidir 
yaxinliqda mekteb bagca supermarket fealiyyet gosterir 
 baku bus binain yanindan kecir 30-.32 
xidmet haqqi 1 ",220,Neftçilər m.Nizami r.
2746445,2022-04-21,Yeni tikili,10 / 19,70 m²,2,var,110 000AZN,vasitəçi (agent),"Yeni Yasamalda D.Bünyadzadə küçəsində 19 mertebeli binanin 10 cu mertebesinde sahəsi 70 kv m olan 2 otagli əla təmirli,,KUPCALI mənzil təcili satılır.
Bina tam yaşayışlıdır. Binanın yaxınlığında Bravo, Bazarstore, Bizim market, uşaq baxçaları və məktəb vardır. Qaz, işiq, su daimidir.
Qiymet 110.000 AZN",49,İnşaatçılar m.Yasamal r.Yeni Yasamal q.
