id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
2506728,2021-12-12,Yeni tikili,6 / 18,140 m²,3,var,175 000AZN,vasitəçi (agent),"Nizami Rayonu, Neftçilər Metrosunun yaxınlıqında, Nazlı Şadlıq Sarayının yanında, Yeni Tikili 18 Mərtəbəli Binanın 6-cı Mərtəbəsində 3 otaqlı 140 kv/m sahəsi olan Mənzil satılır. Sənəd KUPÇA ÇIXARIŞ.. Mənzil tam təmirlidir, Skvaznoydur ( iki Balkonu var ) istilik sistemi kombi ( isti pol var ) Pol parkettir, Qaz,işıq,su Daimidir. Mənzil əşyaları ilə birgə satılır ( Yataq Mebeli Xaric ) Mənzil yüksək səviyyədə Təmir olunmuşhdur.. Real alıcılar Əlaqə saxlasın xaiş olunur",33,"Neftçilər m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,
2506726,2021-12-12,Yeni tikili,7 / 17,67 m²,2,var,125 000AZN,vasitəçi (agent),"TECILI,QAZLI,KUPCALI!!Baki seheri Bineqedi rayonu Azadliq metrosu MDEYRAHOSPITALIN yaxinliqinda yeni tikili 17 mertebeli  binanin 7 mertebesinde Temirden sonra yasayis olmayan ela temirli 1 otaqdan 2otaqa duzelme menzil satilir,Bina elverisli yerde yerlesir Yaxinlinda mekteb baxca market vesaire iase abyektleri yerlesir.Elave suallari olanlar elaqe saxliya bilerler.QIYMETI 125000azn",47,"Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,
2506725,2021-12-12,Köhnə tikili,16 / 17,92 m²,4,var,120 000AZN,vasitəçi (agent),"Q.Qarayevdə PRAQA RESTORANININ arxasında 3 otaqdan 4 də düzəlmə 1 il öncə təmir olunmuş mənzil satılır.
Mənzil əşyalıda satıla bilər.lakin qiymət dəyişmə şərti ilə.
Bina qazsız binadır lift işləyir. Əla yerdədi və infrasturuktur cəhətdən əladır.",38,"Qara Qarayev m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,
2506723,2021-12-12,Yeni tikili,8 / 17,88 m²,2,var,125 000AZN,vasitəçi (agent),"TƏCİLİ SATILIR!!!
KUPÇA + QAZ !
DİGƏR AGENTLƏR ŞƏKİLLƏRİ İCAZƏSİZ GÖTÜRMƏYİN !
Bakı şəhəri, Xətai rayonu, Neyrocərrahiyyənin yanında, Lukoil zapravkası ilə üzbəüz, 17 mərtəbəli binanın, 8-ci mərtəbəsində, ümumi sahəsi 88 kv.m. olan, qanuni 2 otaqlı, yaxşı təmirli mənzil satılır.
*Mənzil keyfiyyətli materiallarla təmir olunub.
*İstilik sistemi kombidir.
*Pol parket.
*Qaz, su, işıq daimidir.
*Maşınlar üçün dayanacaq yeri, yaxınlıqda BRAVO gipermarket, məktəb, uşaq bağçası, mağazalar, avtobus dayanacağı və s.
*Sənəd ÇIXARIŞ (kupça).
Komissiya haqqı 1% təşkil edəcək.",64,"Xətai r.
",,,,,,,
2506389,2021-12-12,Köhnə tikili,2 / 5,60 m²,2,var,86 000AZN,vasitəçi (agent),COOX COOX TECLI Yasamal Rayonu Insatsilar meturosun cixisinda 5/2ci mertebesinde 2otaq tam temirli esyalarila birlikde satilir metbex boyudulub merkezi isdikik sisdemi var isi qaz su daymidi yaxinliqda mekteb baxca market var senedler tam qaydasindadi KUPCA CIXARIS VAR musderi terefden ofis haqqi 1%,51,"İnşaatçılar m.
"," Yasamal r.
",,,,,,
2506717,2021-12-12,Yeni tikili,9 / 10,205 m²,6,var,340 000AZN,vasitəçi (agent),"Mərtəbə	9 / 10
Sahə	205 m²
Otaq sayı	6
Kupça	var 
Şəhərin mərkəzində Gənclikdə 6 otaqlı təmirli və əşyalı dublex (ikimərtəbəli) mənzil satılır.Mənzilin isitmə sistemi kombidir.Su,qaz və işıq daimidir.Yeni tikili binanın 9 və 10 cu mərtəbəsində yerləşir.10 cu mərtəbə mansart sayılır.Lakin təmirlidir.Binada lift mövcuddur.Lift 9 cu mərtəbəyə kimi qalxır.3 otaq aşağıda,3 otaq isə 2 ci mərtəbəsində yerləşir.2 balkonu var.Əşyalara həmçinin daxildir 4 kondisioner,lyusturalar,paltaryuyan,soyuducu və yataq otağı dəsti.Binanın həyəti çox genişdir və 24 saat muhafizəçi , 24 saat işlək kameralar var.Binanın həyətinin sol qapısından çıxdıqda gənclik parkı,sağ tərəfindən isə cıdır düzünə çıxmaq olur.",49,"Gənclik m.
"," Respublika stadionu 
"," Nərimanov r.
",,,,,
2506713,2021-12-12,Yeni tikili,15 / 17,120 m²,3,var,260 000AZN,vasitəçi (agent),"✔Nerimanov Metrosu, Nerimanov Parkin yani
✔Yeni tikili bina
✔3 otaq, Sahesi 120 kv.m
✔Ela temirli
✔Temirden sonra yasayis olmayib
✔Yer isti pol, ag parket
✔Isdilik sisdemi kombi
✔Binada qaz,Su, Isiq
✔Cixaris(kupca)
✔Ipotekaya yararli
✔Yerati parking
Diger melumatlar ucun zeng edin",83,"Nəriman Nərimanov parkı 
"," Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,
2506709,2021-12-12,Yeni tikili,18 / 18,59 m²,2,yoxdur,72 000AZN,vasitəçi (agent),"DAXILI KREDIT:
- ilkin odenis 42.000 azn
- 240 ay müddətinə - 260 azn/ay
- 120 ay müddətinə - 399 azn/ay
- 60 ay müddətinə - 642 azn/ay

-Yasamal rayonu, Yeni Yasamal, “Bravo” marketlə üzbəüz ""Bazar Store"" arxası – Əsəd Əhmədov küç.

- Sahəsi: 59 m²
- Otaq sayı: 2 otağa düzəlmə
- Mərtəbə: 18/18 (lift 17ə qədər qalxır)
- Super - yeni temirli - Təmirdən sonra yaşayış olmayıb.

-Qeyd: Qaz su işıq var və daimidir. Gözəl proyektli, işıqlı geniş mənzildir. Təmir zamanı keyfiyyətli materiallardan istifadə olunub.

-Binanın gözəl geniş həyəti, təmiz blokları, 2 sürətli lifti, yeraltı qaraji və 7/24 saat mühafizə xidməti var. Bina bütün infrastrukturlara yaxındır. İnşaatçılar m/s 7-8 dəqiqəlik piyada məsafədə yerləşir.",779,"İnşaatçılar m.
"," Yasamal r.
"," Yeni Yasamal q.
",,,,,
2506704,2021-12-12,Yeni tikili,14 / 19,90 m²,3,yoxdur,137 000AZN,vasitəçi (agent),"Gəncə pr yerləşən qazla təchiz olunmuş Panorama Park qapalı yaşayış kompleksində Denize Ve Şehere Super Menzeresi olan 19 un 14 cu mertebesinde qanuni 3 otaqli 2 Balkonlu Denize Ve sehere panaramasi olan Super dizayn əsasında xüsusi zövq və yüksək keyfiyyətli tam təmirli mənzil satisa cixib Real musteriye endirim Olunacaq Dehliz Qardirobuda var Menzilin Umumi Sahesi 90 kvadratdi Menzilin Balkonundan Mohtesem Menzere Gorsenir Deyerinden Ucuz Satilir.Mənzil kollektor sistemli isti döşəmə və istilik xətləri ilə təmin olunub, təmir zamanı tanınmış markaların materiallarından istifadə olunub. Döşəmə bahali Parket şişməyə davamlı), Dehliz Qardirobu Metbex mebeli var divar kağızları Zambaiti avropa istehsalı, h/t aksesuarları Türkiyə istehsalı, bahalı kafel-metlax və s. Komleks 24 saat mühafizə və kamera nəzarət sistemi ilə təchiz olunub, yeraltı dayanacaqları var. Məhəllədə idman meydançası uşaq istirahət mərkəzi, istirahət zonası və s. mövcuddur.

1 % xidmət haqqı təşkil edir ",38,"Xətai r.
",,,,,,,
2506703,2021-12-12,Yeni tikili,14 / 15,56 m²,2,yoxdur,57 000AZN,mülkiyyətçi,"
Подробнее
Sumqayıt. Elmarın kruqu. 
“NEW CITY” MTK 
2 otaq. 
Su qaz işıq daimidir. 
Lift işlekdir. 
Özəl parking. 
Şlaqbaumlu və kameralı mühafizəli həyəti. 
Sənəd : Müqavilə. 
Dənizə menzerelidir. 
Tam Evro Təmirlidir ! 
Ciddi şəxslər narahat etsin !
",94,"Sumqayıt
",,,,,,,
