id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
2351624,2021-10-14,Köhnə tikili,5 / 9,102 m²,4,var,146 500AZN,mülkiyyətçi,"Mənzil Sabunçu rayonu, Bakıxanov qəsəbəsi, Sülh küçəsi 14/2 ünvanında (diplomat binası)   2 ci blok,  5 ci mertebede yerləşir. Bina qəsəbənin tam mərkəzində İcra hakimiyyetine və Aygün mall ticarət mərkəzinə 2 dq piyada məsafədədir. Leninqrad proyektli binanın 2 ci blok 5 ci mərtəbəsinde yerləşən mənzilin 4 otaqli olub 9ümumi sahəsi 102.3 kvmdir. Mənzil tam təmirlidir. Döşəmə parket , tavan alçıpan divarlar ise oboyla uzlenmisdir. Mətbəx mebeli və hamam aksesuarları islek vəziyyətdədir. Giriş qapısı seyf, daxili qapılar isə Avropa qapilaridir. Mənzil yelcekendir və bir ədəd 12.6 kvm.lik qapalı eyvanı vardır. Mərkəzləşmiş İstilik sistemi , Ariston və 3 ədəd kondisioner var. Binanin lifti yenidir və  tam islekdir. Binaya yaxın (2-3 dq)  məktəblər bağçalar və Alis veriş mərkəzləri vardır.
Xahiş edirəm qeyri ciddi insanlar narahat etməsinlər.
Saat 10:00 dan 22:00 dək zəng vura bilərsiniz.",233,"Sabunçu r.
"," Bakıxanov q.
",,,,,,,,,,
2399427,2021-10-14,Köhnə tikili,8 / 9,70 m²,3,var,125 000AZN,vasitəçi (agent),"Tecili !! Seherin en sakit erazisinde , Tixacsiz sahesi ,N.Nerimanov prospektinde  9 mertebeli binanin 8 ci mertebesinde Dublex menzil satilir! Menzilin parka ve Denize ela panaromasi var!! Qaz,isig,su daimidir ! Kupca var! Binada olan Butun menziller Dublexdir !!Binanin duz yaninda mekteb , baxca , ve bir sira iase obyektleri var ! ofis haqqi 1% ",34,"Sovetski 
"," Nərimanov heykəli 
"," Yasamal r.
",,,,,,,,,
2399424,2021-10-14,Köhnə tikili,3 / 5,70 m²,3,var,170 000AZN,mülkiyyətçi,"Ağ Şəhər Bulvarının yanı, təmirsizdir. Qiymət barədə danışmaq olar. Klassik stalinka binadır, 2 tərəfə balkonu var. ",28,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,,,
2399420,2021-10-14,Köhnə tikili,8 / 9,48 m²,2,var,70 000AZN,vasitəçi (agent),"DİQQƏT!!! ƏLA TƏKLİF!!! ÇOX ÇOX TƏCİLİ!!!

DƏYƏRİNDƏN UCUZ MƏNZİL SATILIR!!!

QİYMƏT SONDUR!!!

Binəqədi rayonu 9-cu mkr-da Mir Cəlal küçəsində Rahat marketin yanında 9 mərtəbəli lelinqrad proyektli binanın 8-ci mərtəbəsində ümumi sahəsi 45 kvm olan 1 otaqdan 2 otağa düzəlmiş EURO TƏMİRLİ MƏNZİL DƏYƏRİNDƏN UCUZ QİYMƏTƏ TƏCİLİ OLARAQ SATILIR!!!

Qaz,su,işıq daimidir.

Sənədi kupçadır.

İpotekaya yararlıdır.

Mənzil mətbəx mebeli, koridor, yatag otaginda və zalda bəzi əşyaları ilə birlikdə satılır.

Lift təzə qoyulub.

Bina çox gözəl,ideal,ekoloji cəhətdən təmiz ərazidə yerləşir.

Yaxınlıqda hər bir iaşə obyekti var.

Şəhərin hər yerinə avtobuslar binanın düz yanından keçir.

Sakit və təmiz həyət.

Həyətdə maşın saxlamaq üçün geniş yer var.

Şirkətin xidmət haqqı 1%... Tural M",55,"Zərifə Əliyeva adına park 
"," Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,,
2399418,2021-10-14,Yeni tikili,13 / 16,132 m²,3,var,230 000AZN,mülkiyyətçi,"Ev sahibi özüməm təcili satıram endirimdə olacaq 
Hər sənədi var Kupçası Çıxarışı 
3 otaq 
1 mətbəx 
2 sanuzi
16 mərtəbənin 
13 mərtəbəsi 
Sahəsi 140 kv
İki balkon
Qoşa lift 
Kondisaner 
Kombi 
Bütün əşyaları var satış olarkən heç bir əşyası götürülmür 
Təmirli 
Adres Azadlıq prospekti 
Gənclik metrosuna yaxşı 
Bakı sağlamlıq 
Travmatologiya 
Binanın sağında Bakı sağlamlıq solunda Travmatologiya 
Ətraflı məlumat üçün əlaqə saxlayın",17,"Tibb Universiteti 
"," Nəsimi r.
",,,,,,,,,,
2399417,2021-10-14,Köhnə tikili,6 / 6,62 m²,2,var,1 650AZN,vasitəçi (agent),"Dəyərli müştərilərimiz

Şəhərin mərkəzində Kukla teatırı ilə üz bə üz yerləşən köhnə tikili 6 mərtəbəli daş binanın 6 cı mərtəbəsində sahəsi 62m2 olan 2 otaqlı mənzil təcili satılır
Mənzilin təmirə ehtiyacı yoxdu
İcarə üçün əla təklifdir
Binanın geniş qapalı heyeti
Binanın LİFTİ var
İtaliyanka deyil
Real müştərilərə qiymətdə yaxsı endirim olunacaq
Əlavə məllumat üçün əlaqə saxlaya bilərsiniz",37,"Xalça Muzeyi 
"," Azərbaycan kinoteatrı 
"," Fontanlar bağı 
"," İçəri Şəhər 
"," Sahil m.
"," İçəri Şəhər m.
"," Səbail r.
",,,,,
2399416,2021-10-14,Yeni tikili,5 / 17,76 m²,2,var,115 000AZN,vasitəçi (agent),"Həsən bəy Zərdabi küçəsində, Sosial Müdafiə Fondunun yanında, Sevinc MTK məxsus 17 mərtəbəli binanın 5-ci mərtəbədə 2 otaqlı mənzil satılır. Mənzildə əsas təmir işləri görülüb, studio mətbəx üçün dəyişikliklər edilib, alan şəxs öz istəyinə uyğun olaraq əlavə dəyişikliklər edə bilər. Binanın yeraltı qarajı,  24 saat mühafizə olunan qapalı həyətində uşaq meydancası, besedkalar,  marketlər, salon və digər obyektlər var. Binanın ətrafında avtobus dayanaçağı, bank, Baku Mall, məktəb, baxça, ticarət  və digər iaşə obyektləri mövcuddur. ",20,"Yasamal r.
",,,,,,,,,,,
2399414,2021-10-14,Köhnə tikili,14 / 17,110.5 m²,3,var,187 000AZN,vasitəçi (agent),"
Nəsimi rayonu Həsən Əliyev küçəsi Ege hospitalın yanı 17 mərtəbəli pilot layihəli binanın 14 – cü mərtəbəsində mənzil satılır. Ümumi sahəsi  110.5 kv.metrdir. Mənzil təmirsiz – pod mayakdır. Binada digər pod mayak mənzillərin 1 kv.metri  1800 AZN- a satılır. Bu mənzilin isə 1 kv.metri 1700 – AZN a satılır.
",25,"ASAN Xidmət №1 
"," Neftçi bazası 
"," Nəsimi r.
",,,,,,,,,
2399412,2021-10-14,Yeni tikili,11 / 11,70 m²,2,var,77 000AZN,mülkiyyətçi,2 otaq predelka deyil tam təmirli qaz su işıq daimidir kombi sistemi çəkilib kupca var qiymət 77000m,37,"İnşaatçılar m.
"," Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,,
2247215,2021-10-14,Köhnə tikili,5 / 5,59 m²,2,var,58 000AZN,vasitəçi (agent),COOOOOX COOOOOX TECILI KUPCALI  4 mkr 20 yanvar kucesi Qiziltac sadliq sarayinin yaxinligi Memar ecemi metrosuna 3-4 deqiqelik mesafede 5 mertebeli binanin 5 ci mertebesinde RADNOY 2 otaqli orta temirli menzil cooox tecili deyerinden asagi satilir.Qaz su isiq daimidir.Istilik sistemi kombidir.yaxinliqda mekteb baxca boyuk super marketler marsurut xetleri yer alir.Bir sozle erazi butun infrstrukutlarla ehate olunmusdur. Ciddi sexsler elaqe saxlasin OFIS HAQQI alan terefinden 1%odenilecek.,69,"Memar Əcəmi m.
"," Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,,,,
