id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
2519964,2021-12-19,Yeni tikili,7 / 16,96.4 m²,3,var,115 000AZN,mülkiyyətçi,"Bina Masazır dairəsindən 900m yaxınlığda, 4 saylı uşaq bağçasının yanında əlverişli yerdə yerləşir. Yaxınlığda Araz, Aplus Supermarletləri və digər marketlər, meyvə tərəvəz mağazaları, Azza şirniyyat evi, Omid və digər tikinti materialları mağazaları, apteklər, avtomoyka mövcuddur. Avtomobillərin təhlükəsiz şəkildə park edilməsi üçün binanın yeraltı 2 mərtəbəli qarajı sakinlərin istifadəsindədir. Bina 24 saat mühafizə olunur, girişdə şlauqbaum var. Həyətdə uşaqlar üçün oyun parkı mövcuddur. Qiymətə mətbəx mebeli, qaz sobası, aspirator, lyustrlar və kombi istilik sistemi daxildir. 10 illik bank ipotekası ilə də rəsmiləşdirmək imkanı mövcuddur",18,"Xırdalan
",,,,,
2519962,2021-12-19,Yeni tikili,7 / 17,129 m²,3,var,210 000AZN,vasitəçi (agent),"Qazlı və kupçalı. Həzi Aslanov metrosunun yaxınlığında yeni tikilinin 7-ci mərtəbəsində qanuni 3 otaqlı super təmirli mənzil satılır. Bina 24 saat mühafizə, kodlu qapı sistemi, parking, sürətli liftlər və s. ilə təmin olunub,qaz, su, işıq daimidir,istilik sistemi kombidir. Əlavə məlumatçün əlaqə saxlaya bilərsiniz, firmanın xidmət haqqı 1% təşkil edir.",44,"Həzi Aslanov m.
"," Xətai r.
",,,,
2519959,2021-12-19,Köhnə tikili,5 / 5,82 m²,5,yoxdur,97 000AZN,mülkiyyətçi,Şəhərin mərkəzində məktəb bağça yaxınlığında ,24,"Sumqayıt
",,,,,
2519958,2021-12-19,Köhnə tikili,5 / 5,85 m²,3,var,78 000AZN,vasitəçi (agent),"Xətai rayon, Gəncəprospekti, Xəzər dairəsinin yaxınlığı, köhnə tikili Leninqrad layihəli 5 mərtəbəli binanın 5-ci mərtəbəsində qanuni 3 otaqlı orta təmirli mənzil satılır. İşıq, su, qaz daimidir. İstilik sistemi mərkəzidir. Döşəmə parketdir. Mənzilin pəncərələri plastikdir. İki balkonu var. Balkonlardan birinin yarısı mətbəxə əlavə olunub və mətbəx genişlənib. Digər balkon bağlıdır. Sənədi ÇIXARIŞDIR (KUPÇA). Binanın üstü yeni təmir olunmuş və su sızması yoxdur. Geniş həyəti mövcuddur. Bina infrastruktur cəhətdən əla yerdə yerləşir. Araz, Bravo supermarketlər, yeni açılmış Gənclik parkı binanın yaxınlığında yerləşir. Binanın yanından 7A, 21, 44, 60, 104 nömrəli marşrut xəttləri keçir. Həzi Aslanov metrosuna piyada 20 dəqiqəlik məsafədədir. Maşınla 8 Noyabr (Nobel) prospektinə və Zığ şossesinə çox rahat çıxışı var. 98, 191, 257, 269 saylı məktəblər, bağça, xəstəxana və yaşayış əhəmiyyətli bütün obyektlər yaxınlıqdadır. Əlavə məlumat və mənzilə baxış keçirmək üçün əlaqə saxlaya bilərsiniz. 
QEYD: QİYMƏT SONDUR!!! ENDİRİM YOXDUR!!! Şirkət komissiyası 1% (800 AZN) təşkil edir.
",87,"Xətai r.
",,,,,
2519957,2021-12-19,Köhnə tikili,5 / 9,115 m²,4,var,160 000AZN,vasitəçi (agent),Genclik atatürk 4otaq ela temirli skvaznoy qaz kupca qaz su işıq daimidir metroya yaxındır gözəl geniş həyəti var çox təcili satılır real alıcılar olar,26,"Gənclik m.
"," Respublika stadionu 
"," Nərimanov r.
",,,
2519953,2021-12-19,Yeni tikili,1 / 20,82 m²,3,var,118 000AZN,vasitəçi (agent),"Xətai Park elit yaşayış kompleksində, tam təmirli, əlverişli 2 dən 3 ə əlverişli düzəlmə,( hər otaga pəncərə düşür). Mətbəx mebeli qurulub.Mənzil isti polla təmin edilib.Mənzilin cıxışı oyun meydancasınadı. Mərkəzi binadı. Qaz var. Cıxarış var.mənzildə yaşayış olmayıb.Ətrafda bagca, məktəb , dayanacag, Bravo market yerləşir. Obyekt kimi də əlverişli yerdədi.( salon, tədris mərkəzi, atelye,və s kimi). Sahibi satır. Qiymətdə güzəşt olacaq.İpotekaya tam yararlıdı.
Mərtəbə 1 / 20
Sahə 82 m²
Otaq sayı 3
Kupça var",161,"Xətai r.
"," Həzi Aslanov q.
",,,,
2519952,2021-12-19,Köhnə tikili,1 / 2,49 m²,2,var,75 000AZN,vasitəçi (agent),"28 may, Cayni Fabrikanin tam yaninda, tecili menzil satilir, kvadrati 1500 den duwur. Elave qarajda ustunde verilir. Otag 2 di amma bidene de elave balaca otagkimi var, cox balaca amma 3 cu otagkimi 5-6m2. Qaraj 18m2 di",34,"Nəsimi r.
",,,,,
2519950,2021-12-19,Yeni tikili,20 / 20,125 m²,3,var,103 000AZN,vasitəçi (agent),"TƏCİLİ SATILIR.3 otaqlı.Mənzilin çox gözəl lahiyəsi var. Şəhərə və Dənizə çox gözəl mənzərəsi var.Xətai Park Piremum klass yüksək səviyyəli tikinti şirkəti tərəfindən inşaa edilib, Bina tam hazırdı suyu, qazı, işığı daimidir, Binanın çox geniş həyəti, 5 mərtəbəli yerüstü parkinki, 3 ədəd sürətli lifti var, Binada 24 saat mühafizə xidməti, böyük supermarket Bravo, fitnes mərkəzi, uşaq bağçası, restoran və müxtəlif xidmət sahələri fəaliyyət göstərəcək, Menzilin çıxarışı var, mənzil təcili satıldığı üçün real qiymətdən aşağı verilir.",698,"Xətai r.
"," Əhmədli q.
",,,,
2519948,2021-12-19,Yeni tikili,12 / 16,137 m²,3,var,245 000AZN,vasitəçi (agent),"
Ehmedli qesebesi Movida Plaza sadliq evinin yaninda 16 mertebeli binanin 12 ci mertebesinde 137 kv olan qazli Kupcali 3 otaq ela temirli menzil satilir.Menzil tam esyali satilir.Menzilde yasayis az oldugna gore esyalar yeniden secilmir esyalarin hamsi turk markasidi.Menzil kreditlede satila biler faizssiz kredit ilkin odenis elemek sertile",24,"Xətai r.
"," Əhmədli q.
",,,,
2519947,2021-12-19,Köhnə tikili,1 / 5,50 m²,2,var,73 000AZN,vasitəçi (agent),Super təmirli ev Əcəmi metrosunavyaxın yerdə 5/1 ci mərtəbəsdə təmirdən sonra yaşayış olmayıb cox əla təmir ev bilentaj yerdən hündur yerdə padvalı var isdənlən vaxt baxmaq olar qiymətdə razlaşmaq da olar başqa hər bir qiymətə evlər var isdənlən vaxt əlaqə saxlayın,71,"Memar Əcəmi m.
"," Nəsimi r.
"," 2-ci mikrorayon q.
",,,
