id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
2555910,2022-01-10,Köhnə tikili,1 / 9,100 m²,4,var,160 000AZN,vasitəçi (agent),"Elmlər akademiyasi M. 
BDU yaxınlığı. 9 mərtəbəli experimental layihəli binada 3/4 otağa düzəlmiş normal təmirli mənzil satılır. 1-ci mərtəbə, yerdən hündür 2-ci mərtəbə səviyyəsindədir. 
Yelçəkən (skvoznoy) proekt. Yola 2 pəncərə və balkon baxır, obyektə yararlıdır.",11,"Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,,,
2555909,2022-01-10,Yeni tikili,12 / 20,152 m²,3,var,198 000AZN,mülkiyyətçi,Xan Şuşinski küç 955 məhəllə 1 saylı Asan Xidmətin yanında 20/12 3 otaqli menzil satilir.Ev ozumuzundur.Evde 20% isler gorulub.KUPCA var.Real aliciya endirim olunacaq.,48,"ASAN Xidmət №1 
"," Tibb Universiteti 
"," Nəsimi bazarı 
"," Nəsimi r.
",,,,,,,
2555905,2022-01-10,Köhnə tikili,9 / 9,75 m²,3,var,95 000AZN,vasitəçi (agent),"TƏCİLİ KUPÇALI İPOTEKAYA YARARLI Yeni Yasamal qəsəbəsində Xiyabani küçəsində Azpetrola yaxın  Leninqrad layihəli 9 mərtəbəli binanın 9 ci mertebesinde 3 otaqlı orta təmirli menzil satilir.Qaz ,su ,işıq daimidir.Yaxinliqda məktəb baxça böyük supermarketlər var. Bina A.M. Şərifzadə küçəsinə yaxındır və bir çox marşrutlar binanın yanından keçir.",13,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,,
2555904,2022-01-10,Köhnə tikili,8 / 9,65 m²,2,var,95 000AZN,vasitəçi (agent),"TECILI SATILIR...8-ci Mikrorayonda Azadliq prospektine yaxin leninqrad layiheli 2 otaqli menzil satilir. menzil orta blokda yerlewir. yelceken, skvoznoy menzildir.qaz,su,iwiq fasilesiz verilir. menzilin istilik sistemi kombidir. binanin sakit, seliqeli heyeti var. yaxinliqda orta mekteb, uwaq baxcasi, super marketler, ticaret obyektleri yerlewir.sened kupcadir, (cixariw). alici terefden firmaya 1% xidmet haqqi odenilir,",75,"Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,,,
2555903,2022-01-10,Yeni tikili,6 / 20,154 m²,4,var,150 000AZN,vasitəçi (agent),"TƏCİLİ SATILIR. 5 otağa çox rahat düzəltmək mümkündür. Mənzilin çox gözəl layihəsi var.  Xətai Park Premium klass yüksək səviyyəli tikinti şirkəti tərəfindən inşaa edilib. Bina tam hazırdı, suyu, qazı, işığı daimidir. Binanın çox geniş həyəti, 5 mərtəbəli yerüstü parkinqi, 3 ədəd sürətli lifti var.Binada 24 saat mühafizə xidməti, böyük supermarket (Bravo), fitnes mərkəzi, uşaq bağçası, restoran və müxtəlif xidmət sahələri fəaliyyət göstərəcək. Mənzilin çıxarışı var.
",9,"Xətai r.
"," Əhmədli q.
",,,,,,,,,
2555900,2022-01-10,Yeni tikili,15 / 17,60 m²,2,var,126 000AZN,vasitəçi (agent),"Tecili!!!
Super temirli !! KUPCALI !! KIRAYE UCUN IDEAL VARIANT !!
Xetai metrosuna 5 deqiqelik ve Ag Seherine 10 deqiqelik piyada mesafede yerlesen yeni tikili olan 17/15 mertebesinde Super temirli 2 otaqli menzil satilir! Mnezilin Temirinde keyfiyyetli materiallardan istifade olunub !!!Qaz su isiq daimidir ! Binanin heyeti avtomobil dayancaqi ve 7/24 muhafizesi var ! Kupca eldedir !
Etrafli melumat ucun elaqe saxlaya bilersiniz !
Ofis xidmet haqqi 1% teskil edir !",42,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,,
2555899,2022-01-10,Yeni tikili,1 / 3,115 m²,4,var,124 000AZN,vasitəçi (agent),Nerimanov rayonu Seki restorana yaxin  Genclik 5 nomreli xestexanaya yaxin 3 mertebeli binanin 1 ci mertebesinde 4 otaqli Yeni tikili binad menzil satilir qazi suyu isqi daimi genis heyeti yaxinlqda usaq bagclari orta mektebler var Genclik ve Nerimanov metrosuna 5 deqiqe mesafede,17,"Nərimanov r.
",,,,,,,,,,
2555897,2022-01-10,Köhnə tikili,5 / 5,35 m²,1,var,65 000AZN,vasitəçi (agent),Yasamal rayonu M.Seyidov kucesi Ilahiyyet mescidine yaxin Araz marketin yaninda 5/5 1 /2 duzelme temirli menzil gorunen eşyalarla birge satilir.Binanin ustu yeni temir olub.Musabeyov parkina 3 deq.mesafe Elmler metrosuna 7-8 deq.mesafe var.Hazirda menzilde 350 AZN uzun muddetli kirayeci var.Yeri eladir yasamaq ucun butun infrastruktur var.Elave melymat ucun zeng edin.Xidmet haqqi 1%.,58,"Bakı Dövlət Universiteti 
"," ASAN Xidmət №3 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,
2555896,2022-01-10,Yeni tikili,15 / 20,110 m²,3,var,120 000AZN,vasitəçi (agent),"TƏCİLİ SATILIR. 3 otaqlı mənzildi. Mənzilin çox gözəl layihəsi var.  Xətai Park Premium klass yüksək səviyyəli tikinti şirkəti tərəfindən inşaa edilib. Bina tam hazırdı, suyu, qazı, işığı daimidir. Binanın çox geniş həyəti, 5 mərtəbəli yerüstü parkinqi, 3 ədəd sürətli lifti var.Binada 24 saat mühafizə xidməti, böyük supermarket (Bravo), fitnes mərkəzi, uşaq bağçası, restoran və müxtəlif xidmət sahələri fəaliyyət göstərəcək. Mənzilin çıxarışı var.
",14,"Xətai r.
"," Əhmədli q.
",,,,,,,,,
2555895,2022-01-10,Köhnə tikili,4 / 5,46 m²,3,var,55 000AZN,mülkiyyətçi,Kupcali temirli ev. Tecili satlir. Proyekt italyanka,100,"Həzi Aslanov m.
"," Xətai r.
"," Köhnə Günəşli q.
",,,,,,,,
