id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
2379833,2021-10-05,Yeni tikili,7 / 17,72 m²,2,var,157 000AZN,mülkiyyətçi,"Dənizə ponarama. Əla təmir
Təmirdən sonra yaşayış olmayıb.
Əlavə məlumat üçün zəng edə bilərsiniz",163,"Səbail r.
"," Bayıl q.
",,,,,,,,
2381915,2021-10-05,Köhnə tikili,4 / 5,105 m²,5,var,102 000AZN,vasitəçi (agent),"Sumqayıt şəhəri 12-ci mikrorayonda 5/4-cü mərtəbəsində 5 otaqlı mənzil satılır.
LENİNQRAD PROYEKT. ORTA BLOK.

🌡️Mənzil orta təmirlidir

Mikrorayonun şəhərin mərkəzinə yaxın yerində yerləşir, yanında böyük özünəxidmət ərzaq marketi, müxtəlif istiqamətli avtobus dayanacaqları, orta məktəbi, uşaq bağçası, və sair rahatliqlara sahibdir.

Mikrorayonun ən geniş məhəlləsi olan ərazidə yerləşir, bundan başqa məhlədə uşaq və böyüklər üçün nəzərdə tutulmuş yeni böyük setkali futbol meydançası vardır.

Yerləşdiyi yer dörd yol (avtomobil) ayrıcında yerləşir və müasir dəmiryol stansiyasına yaxın yerdə yerləşir.

Eyvanı (9 metrlik+ 6metrlik) Eyvandan həyətə görüntüsü mükəmməldir, böyük şam və sair ağacların əhatəsinə alınıb.

Mətbəx mebeli mənzildən çıxarılmayacaq, yeni sahibinə veriləcəkdir Ətraflı məlumat üçün zəng edin.",34,"Sumqayıt
",,,,,,,,,
2381912,2021-10-05,Yeni tikili,5 / 17,130 m²,3,var,195 000AZN,vasitəçi (agent),ПР АЗАДЛЫГ рядом БАКЫ САГЛАМЛЫГ МЕРКЕЗИ по ул Н. ЮСИФБЕЙЛИ .Заселенный дом с газом и купчей .Роскошная 3х комнатная квартира ремонт в стиле классика паркет .Большой гостиная с гардеробами встр кухная мебель ванны душ кабина джакузи 2с\у .Мраморный блок 2лифта сигма подз гараж .Рядом школа и детс сад,6,"TQDK 
"," Gənclik m.
"," Nərimanov r.
",,,,,,,
2381910,2021-10-05,Köhnə tikili,2 / 9,80 m²,3,var,130 000AZN,mülkiyyətçi,"Bineqedi rayonu,8 ci mk rayon,Tergul ticaret merkezenin yaxinliqinda 9/2 mertebesinde 3 otaq orta temirli,orta menzil,orta blok,her 2 eyvanlar menzile qatilib,tecili satilir.Firmalar narahat etmesinler.",42,"Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,,
2381909,2021-10-05,Yeni tikili,10 / 17,138 m²,4,var,185 000AZN,vasitəçi (agent),Yeni Yasamal Rahat marketin ustunde 3 otaqdan 4 otaqa duzelme temirli menzil satilir.Qaz su isiq daimi tam yasayisli bina.Menzilin ela genis proyekti var doseme parket genis otaqlar 2 sanuzel ve sair sekilde nece gorunur menzil o curdur.Butun esyalarla birlikde satilir hazir kupca eldedir.Ofisin xidmet haqqi 1%,12,"İnşaatçılar m.
"," Yasamal r.
"," Yeni Yasamal q.
",,,,,,,
2381908,2021-10-05,Yeni tikili,11 / 20,60 m²,2,var,90 000AZN,vasitəçi (agent),"Tecili!!!
Menzil Esyalarla Birge satilir!!!
Xetai rayonu, Gence prospekti, Bravo marketin yaxinliginda, 20 mertebeli binanin 11ci mertebesinde, umumi sahesi 60kvm olan 1otaqdan 2otaga duzeldilmis menzil satilir, su, qaz isiq daimidir, kupca var, sirket xidmet haqqi 1%",53,"Xətai r.
",,,,,,,,,
2381907,2021-10-05,Köhnə tikili,5 / 5,85 m²,4,var,115 000AZN,vasitəçi (agent),ОК метро ГЯНДЖЛИК продаются 3х комнатная квартира переделано на 4х комнату разшерени проект хр каменный дом .Ср ремонт в симле классика встр кухная мебель ванны душ кабина спальны с гардеробами комн и с\у разд балкон .Квартира продаются с мебелью .Большой двор с детс площ место для а\м .Рядом школа и детс сад,16,"Gənclik m.
"," Respublika stadionu 
"," Nərimanov r.
",,,,,,,
2381905,2021-10-05,Yeni tikili,7 / 17,100 m²,2,yoxdur,147 000AZN,vasitəçi (agent),"TECILI ! ! ! Tbilisi prospektinde , bolmartin yaninda yerlesen PRESTIJ PARK yasayis kompleksinde menzil satilir . menzilin umumi sahesi 96.5 kv m dir . QANUNI 2 otaqlidir . podmayakdir . qaz su isiq daimidir . binanin parking ' i lifti var .  binanin genis  gozel heyeti var . 7/24 muhafize xidmeti var . Kupca yaxin zamanlarda verilecek . ofis haqqi 1 %",34,"Bakı Asiya Universiteti 
"," 8 Noyabr m.
"," Nəsimi r.
",,,,,,,
2381903,2021-10-05,Köhnə tikili,9 / 10,90 m²,4,var,164 000AZN,mülkiyyətçi,"ГОРЯЩИЙ ВАРИАНТ !!
Продаю дёшево из-за срочного отъезда ,
Около 20 школы
По проспекту Парламента,
Срочно продаю 4-х комнатную квартиру,

90 квадрат,
Комнаты раздельные,
Квартира сквозная ,

Высокие потолки,
9-ти метровые балконы

проект здания, ленинградка

Здание с лифтом ,

квартира с видом на МОРЕ

СУПЕР ВАРИАНТ КАК И ДЛЯ ЖИЛЬЯ, ТАК И ДЛЯ СДАЧИ В АРЕНДУ !

Цена зависит от договорённости",20,"İqsadiyyat Universiteti 
"," Axundov bağı 
"," Dövlət İdarəçilik Akademiyası 
"," İçəri Şəhər m.
"," M.Ə.Sabir parkı 
"," Qubernator parkı 
"," Prezident parkı 
"," Mərkəzi Univermaq 
"," İçəri Şəhər 
"," Yasamal r.
"
2381901,2021-10-05,Yeni tikili,2 / 16,53 m²,2,var,81 800AZN,mülkiyyətçi,AMK-mtk(kompleks).Kupca ve Gaz.1-den 2ye duzelme.Pol parket.kombi.kuxna mebeli.Her bir weraiti var.Ipoteka ile satilmir.Ofis ve maklerlar narahat elemesin!(real aliciya endirim olunacagdir).,60,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
