id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
2600339,2022-02-04,Yeni tikili,5 / 27,147.5 m²,3,yoxdur,278 000AZN,mülkiyyətçi,"""GRAND HAYAT""
Yerləşdiyi yer: Yasamal rayonu, Tbilisi prospekti, ""İst Petrol"" un yanında.
Otaq sayı: Qanuni 3 otaq 
Umimi sahəsi: 147.5 kv.m.
Mərtəbə: 27/5
Qaz: Var
Bina 8, mərtəbə 5 (yaşayışın 2-ci mərtəbəsi)
VIP BINADA 3 otaqlı çox geniş mənzil təklif edirik. Mənzil tam təmirlidir. Təmir edilən zaman satış üçün nəzərdə tutulmamışdır. Qapılar, Parket və Santexnika (divar içi baçoklar və smestitellər) cox keyfiyyətli materiallardan istifadə olunub. Mənzilin isitmə sistemləri pultla idarə olunur. Mənzildə 2 ədəd sanitar qovşağı vardır. Qaz su işıq daimidir. Möhtəşəm kompleks, mühafizə olunan geniş həyəti, uşaq meydançası, 3 mərtəbəli garajı, uşaq bağçası, marketlər. Çox geniş infrastruktura malikdir.",242,"Yasamal r.
",,,,,,,,,,
2505636,2022-02-04,Yeni tikili,11 / 24,142 m²,3,yoxdur,210 000AZN,vasitəçi (agent),"Yasamal rayonu, yasamal parkinin yaxinlİigi ""3 TAC YASAYİS KOMLEKSİ"" 24 mertebeli binanin 11-ci mertebesi 3 otaqli 142 kv ela temirli esyali menzil satilir.Senedi muqaviledi.binada kupca var.Elave melumat ucun elaqe saxlaya bilersiniz.",46,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,,
2604741,2022-02-04,Köhnə tikili,8 / 10,75 m²,3,var,89 900AZN,vasitəçi (agent),Nesimi rayonu 3 cu mkr Ecemi metrosuna yaxin Yegane sadliq evine yaxin 9 mertebeli Ekspirmental binanin 8 ci mertebesinde radnoy 3 otaq menzil satilir qazi suyu isqi daimi genis heyeti yaxinliqda usaq bagclari orta mektebler var elave zeng edin 90000 azn,1375,"Nəsimi r.
"," 3-cü mikrorayon q.
",,,,,,,,,
2604740,2022-02-04,Yeni tikili,5 / 17,62 m²,2,yoxdur,137 000AZN,vasitəçi (agent),"Satilir!!! Bu erazide bu qiymete RADNOY 2 otaq yoxdur!! Tamm ESYALI!! Alib kiraye vermek ucun ela variant!!Kiraye Deyer qiymeti 500 550 Azn!!!

Genclik ve Nerimanov metrosunun tam yaxinligi ., Canaqqala restoraninin yaxinligi ., Yeni Tikili binanin 5 ci mertebesidir., 60 kv. 1+1 layihesi ., Binada su qaz ishiq daimidir. Kupca ucun muraciet olunub 10-15 gune elde olacaq. Elave melumat ucun elaqe saxlayin. Ofisin XIDMET HAQQI 1%!",64,"Nərimanov r.
",,,,,,,,,,
2604738,2022-02-04,Köhnə tikili,3 / 5,53.5 m²,3,var,78 000AZN,vasitəçi (agent),"✔3 otaq qanuni
✔Yataqxana,Metro işçilərinə verilmiş bina
✔Kupçası var
✔Söküntüyə düşən bina
✔Mətbəxt kalidordadır,geniş balkonu var
✔Otaqlar genişdir,ayrı-ayrıdır
✔Nərimanov metrosuna 5-6 dəq məsafə,Akkordun Baş Ofisi ilə üzbəüz,45 nömrəli məktəbin yanı",17,"Nərimanov r.
",,,,,,,,,,
2604737,2022-02-04,Köhnə tikili,2 / 4,167 m²,3,var,355 000AZN,vasitəçi (agent),"ElE DUSMEZ TEKLIF!!!

DEYERiNDEN ASAGI QIYMETE!!!

QIYMET 105000AZN ENDI !!!

Seherin merkezi ve pristijli kucelerinden biri olan Lermontov kucesinde Axundov bagının duz duz yaninda Icerı seher metrosuna Piyada 2 deqiqelik mesafede Tecili olaraq kupcali 3 otaqli arxitekturnu olan Binada menzil satilir.

MENZIL 2 MENZILIN BIRLESMESIDIR!!!

Bu binada cox nadir halllarda menzil satisa cixarilir.

Bina qoruq neznindedir.

Bina kohne tikililerin arasinda Top 10 -luga dusmus binadir.

Menzil elimyanmdi tecili satilir.

Bu sahede yeni 165 kvm 3 otaq yeni tikilinin 6taq sahesinde olan ikinci bir kohne tikili yoxdur.Bu menzilin artirmasi 4kvm dir yeni radnoy 161 kvm olub ezelden.

Bu binani Fransiz arxitekturu tikmisdir.

Bu binada Ziyali , Elit tebeqeler insanlar yasayir.

Otaqlar olduqca isiqli ve xos auralidir.

Menzil skvaznoydur.

Menzılın bloku olduqca yarasıqlıdır.Bu bınanın gırısı yenı bloku seherımızde en gozel bloklardan bırıdır.Bınaya gırende sankı nagıllar alemınde olur ınsan.Sozle ıfade etmek mumkun deyıl canlı baxıs zamanı xos auranın sahıdı olacaqsız!

Menzilin boyuk eyvani var ,Eyvan birbasa yola baxır.

Binanin Etrafinda heyat ucun vacib olan bir cox infrastrukur obyektler yerlesir.

Binanin ve binanin yerlesdiyi yerin teqdimata ehtiyaci yoxdur.

QIYMET SONDUR XAHIS OLUNUR QIYMETE GORE NARAHAT ETMEYIN QIYMET ONSUZDA HEDDINDEN ARTIQ(1O5000AZN )  ENIB SATIS TECILIDIR!!!

Xıdmet haqqı 1% teskil edir.",513,"Axundov bağı 
"," İqsadiyyat Universiteti 
"," Dövlət İdarəçilik Akademiyası 
"," İçəri Şəhər m.
"," M.Ə.Sabir parkı 
"," Qubernator parkı 
"," Prezident parkı 
"," Mərkəzi Univermaq 
"," Sovetski 
"," Səbail r.
",
2596769,2022-02-04,Köhnə tikili,4 / 4,90 m²,3,var,169 900AZN,vasitəçi (agent),"Ele dusmez teklif!!!

Deyerinden qat -qat asagi qiymet!!!

Seherin pristijli yerlerinden biri olan DFRUJBA KINOTEATR-IN YANINDA QANUNI 3 OTAQ kllasik stalinka lahiyeli elit Binada kupcali Super temirli menzil tecili satilir.

Bu qiymete bu binada menzil yoxdur!!!

MENZILIN ELAVE OLARAQ MENZILE MEXSUS 100 KVM MANSARTI VARDIR.MANSARTDA QAZ SU ISIQ XETLERI KECILMISIDR.MANSART TEMIR OLINMAYIB.

Menzil 200000aznden dusdu 170000azn.
Otaqlarda olan butun razetkalar Almaniyanin CEVIZ firmasinindir.
Doseme ela nov palid parketdir.Qapilar bahali qapilardir.

*Otaqlar olduqca genis isiqli ve xos auraliddir.

*Orta blokdur.

*Gun doyen menzildir.

*Yelcekendir.(skoznoydur).

*Istilik Kombi sistemidir.

*En boyuk ustunluklerinden biri odurki Butun otaqlar bir basa Sefkenko parkina fantana baxir.

Menzilin temiri zamani olduqca keyfiyyetli tikinti materiallarindan istifade olunub.

Bu binada Ziyali , Elit tebeqeler insanlar yasayir.

Binanin heyeti slaqbaunladir,yad masinlara giris qadagandi.Heyetinde rahatliqla masin saxlamaga imkan vardir.

Menzil sekildekinden daha gozeldir.Menzile canli baxis zamani Bunun sahidi olacaqsiz.

Binanin Etrafinda heyat ucun vacib olan bir cox infrastrukur obyektler yerlesir.

Binanin ve binanin yerlesdiyi yerin teqdimata ehtiyaci yoxdur.

Sizde Elit qonsularin ehatesinde yasamaq isteyirsizse bu menzil mehz sizin ucundur!!!

*28 may metrosuna piyada 10 deqiqelik mesafe.

Etrafdinda 164 nomreli mekteb, Diller Inustutu,Slavyan inustutu,Sefcenko parki,Koala parki,Dostluq kinoteatri ve.s taninmis yerlerin etrafindadir.

Kupcada  kohne tıkılı oldugundan kvm umumı sahesı hamısı qeyd olunmayıb kupcada az yazılıb sahesı  Kohne tıkılı bınalarda sahe az qeyd olunur. 

Firmanin xidmet haqqi menzilin umumi deyerinin 1% teskil edir",15,"Dostluq kinoteatrı 
"," Koala parkı 
"," Nəsimi bazarı 
"," Park Zorge 
"," Nəsimi r.
",,,,,,
2571179,2022-02-04,Yeni tikili,8 / 10,150 m²,4,var,220 000AZN,vasitəçi (agent),"Baku Elektronikse yaxin , radnoy 4 otaq , skvaznoy , orta temirli menzil satilir.
Yeri parketdir.
2 eyvani var.
Butun otaqlardan ve metbexden eyvqnlara cixis var.
2 otaqin arasi acilib buda zalin 45 kvadrat olmasi ile neticelenib.
Diger boyuk yataq otaqi ikiye bolunub , yeniki 3 yataq otaqi yene var ve hamisi isiqli.
Metbex gensidir.",154,"Binəqədi r.
",,,,,,,,,,
2604732,2022-02-04,Yeni tikili,5 / 16,114 m²,2,yoxdur,171 000AZN,vasitəçi (agent),Nesimi Rayonu 28May Metrosu Yaxini Nesimi Rayon Polis idaresinin Yani Drujba Kinoteatiri Amerika Sefirliyi Yaxini Azadliq Prospekti Wekillerde Gorduyunuz Pilot Heyat Residence Terifden Yuksek Keyfiyyetle inwaa Olunmuw 17mertebeli Binanin  5ci mertebesi 2 otaqli 114kvadrat Menzil Wirket Qiymetinden Ucuz olaraq Tecili Satilir Etrafli Zeng edin firmanin xidmet haqqisi 1faiz tewkil edir,12,"Bakı Slavyan Universiteti 
"," Azərbaycan Dillər Universiteti 
"," 28 May m.
"," Nəsimi r.
",,,,,,,
2604731,2022-02-04,Yeni tikili,10 / 17,182 m²,4,var,292 000AZN,vasitəçi (agent),"Nesimi Rayonu, Nesimi Bazarinin Yaxinliginda  Sahil MTK terefinden tikilmis Yeni tikilide   17/11     182  kv  4 otaqli temirsiz menzil satilir. Skvaznoydur",29,"Nəsimi bazarı 
"," Nəsimi r.
",,,,,,,,,
