id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
2639843,2022-02-21,Yeni tikili,5 / 16,151 m²,3,var,230 000AZN,vasitəçi (agent),"Nəsimi.r da Azadlıq/pr "" Ağ çiçəyim""gül salonnun qarşısında yerləşən yüksək kefiyyətdə inaş edilmiş yaşayiş kompleksində "" SAHİL MTK "" da pad mayaq 16/5 3--otaq, 2 sanuzel,1 qardirobu olan 151 m2,tavan/h 3,30 m mənzil satistadi.
MƏNZİL TAM SƏRBƏST 4 OTAQA DÜZƏLİR (RAZDEL,OTAQLAR PERVİ SİVET ?)
CERTIYOJDA TƏSVİR OLUNUR.
Manzil.KUPCA ( CIXARIŞ ) QAZ la təmin olunub.
Bina ətrafında yerləşir Dədə qorqud, Koroğlu,Zorqe,Koala parkı, orta məktəb, uşaq bağçası, tibb universiteti, ticarat markazi.""BAZAR SUTORE""
Gənclik M 10-15 dəqiqəlik piyada məsafədi.
Binada geniş sakit hayat, avto park, 2 suratli siqma lift, etyat ucun enerji bloku 24 Saat mühavizə xidməti və.s...
Real alıcıya endirim olar.
Ətraflı məlumat üçün zəg vura bilərsiz.",6,Zoopark Koala parkı Dostluq kinoteatrı Nəsimi bazarı Nəsimi r.
2639842,2022-02-21,Yeni tikili,12 / 16,144 m²,3,var,244 000AZN,vasitəçi (agent),"TECILI SATILIR.. QAZ--KUPCA--VAR..
IPOTEKAYA YARARLI..
Nesimi rayonu, Tibb universitetinin yaxinliginda Yeni tikili binada umumi sahesi 143 kv.m olan 4 otaqli ( 3 otagdan 4 otaga duzelme) butun otaqlar 1 ci iwiqla olan Menzil SATILIR..Menzil wexsi istifade ucun nezerde tutuldugundan temirinde yuksek keyfiyyetli materilardan istifade olunub..Dowemesi Parketdir..Binada daimi iwlek suretli liftler 24 saat muhafize ve yeralti avtodayanacagi movcuddur. Etrafli melumat ucun elaqe saxlayin.. Ofisin xidmet haqqi 1% tewkil edir.",25,Tibb Universiteti 8 Noyabr m.Nəsimi r.
2633169,2022-02-21,Yeni tikili,12 / 19,175 m²,4,yoxdur,380 000AZN,vasitəçi (agent),"Nəsimi Rayonu Semaşkanın arxasında yeni tikili binanın  19/12 ci mərtəbəsində, sahəsi  175 m² olan əla təmirli qanuni 4 otaq  mənzil satılır. Qaz, Su, İşıq daimidir.  Hər otağın ayri kondisioneri var. Mətbəxdə bütün texniki əşyalar quraşdırılıb.  Real alıcıya endirim olunacaq. 

Ətraflı məlumat üçün qeyd olunan nömrə ilə əlaqə saxlaya bilərsiniz.

Ofis xidmət haqqi 1 % təşkil edir.",9,Tibb Universiteti ASAN Xidmət №1 Nəsimi r.
2637507,2022-02-21,Yeni tikili,2 / 16,90 m²,3,var,125 000AZN,vasitəçi (agent),"Təcili! Hezi Aslanov Metrosuna piyada 5-6 dəq yol, 245 Nomreli mektebin yaninda Super kompleks olan Baki Insaatin 14 mertebeli binasinin 2ci mertebesinde Sahesi 90 kvadrat olan Super temirli 2 otagdan 3 otaga düzəlmiş mənzil satılır. Bütün otağlarda pəncərə var.
Qaz su isiq Daimidir KOMBI istilik sistemi var. Sanuzel ayri ayridir. Mənzildə yaşayiş çox az olub. Menzilin Seneti Kupcadir Ipotekaya Yararlidir. ofis haqqi 1 % teskil edecek",228,Xətai r.Həzi Aslanov q.
2624177,2022-02-21,Yeni tikili,3 / 16,60 m²,2,var,120 000AZN,vasitəçi (agent),"✔ KUPCA (Cixaris) VAR Əldədir,
✔ IPOTEKA'YA yararlidir

✔ RNQ Group Yaşayış Kompleksi
✔ Nerimanov Rayonu, Yasil bazarin Tehsil Nazirliyin yaxin erazide
✔ 177 Sayili mekdeble uzbez
✔ Qaz, Isiq, Su, daimdir. İstilik sistemi Kombidir
✔ Yeni temirdən çıxıb ve temirdən sonra yaşayış olmayıb
✔ Umumi sahesi 60kv.m
✔ Cox genis heyeti, 2sigma sürətli-səssiz lifti, Yeralti avtodayanacağı, mərmər blokları
✔ infrstruktura baximdan elverisli erazide yerlesir Bina məktəbə, baxçaya, aliş veriş mərkəzinə, istirahət parkina yaxin yerdə yerləşir, kodlu qapi ile təmin olunub.
✔ Əlavə məlumat almaq uçun əlaqə saxliya bilərsiniz",210,Şərq bazarı Nərimanov r.
2535777,2022-02-21,Köhnə tikili,6 / 9,42 m²,2,var,69 500AZN,mülkiyyətçi,"Təcili olaraq 7 ci mikrorayonda Dərnəgül metrosuna 5 dəqiqəlik məsafədə ipotekaya yararlı 1-dən 2 otağa düzəlmə mənzil satılır.Mənzilin interneti telefonu mərkəzi istilik sistemi mövcuddur.Yaxinliqda məktəb, bağça, marketlər şəbəkəsi mövcuddur.Mənzildə bəzi əşyalar qalacaq.Alib 300 manata kirayə vermək olar.",76,Binəqədi r.7-ci mikrorayon q.
2639836,2022-02-21,Köhnə tikili,2 / 5,72 m²,3,var,116 000AZN,vasitəçi (agent),"Çox Çox təcilli satilir!
İnşatcilar metrosu yaxinligi 5 mərtəbəli daş bina 3 otaqli təmirli mənzil satilir! qaz su işiq daimidir . çox gozəl yerdə yerləşir . əlavə artirmasi var .ətrafli məlumat almaq ucun buyurun zəng edin",131,İnşaatçılar m.Yasamal r.Yasamal q.
2639835,2022-02-21,Yeni tikili,4 / 15,92 m²,2,yoxdur,87 000AZN,vasitəçi (agent),"📌Komlpeksə aid Digər Binaların Hamısı Kupçalıdır!!!
📌Otag Sayı: 2 (Qanuni).
📌Sahə: 92kv.
📌Mərtəbə: 4/15.
📌Bina May Ayında Təmirə Təhvil Veriləcəkdir!
📌Address: Nərimanov r., Karl Marks, Ziya Bunyadov pr.,
",84,Ayna Sultanova heykəli Nərimanov r.
2637835,2022-02-21,Yeni tikili,12 / 16,93 m²,3,var,105 001AZN,vasitəçi (agent),Mənzil Bakixanov qəsəbəsində (qaracuxurda deyil)  yerləşir 16mərtəbəli binanın 12ci mərtəbəsində yerləşir.Sahəsi 93kvdır 3otaqlı mənzildir əşyasız 105 000 əşyalə 115 000azndir Bütün sənədlər qaydasındadır Təmirli və kupşalı mənzildir ofis haqqı 1%,183,Suraxanı r.Qaraçuxur q.
2639833,2022-02-21,Yeni tikili,6 / 16,97 m²,3,var,198 000AZN,vasitəçi (agent),"TƏCİLİ SATILIR

Binanın yerləşdiyi ərazi sakitliyi (səs-küydən uzaq) ilə digər ərazilərdən fərqlənir
SUPER təmirli mənzil(təmirdən sonra mənzildə yaşayış olmayıb)
Polu parket
Otaqların sahəsi genişdir
Mənzilin təmiri zamanı istifadə olunan bütün material və aksesuarlar keyfiyyətli və brend firmaların istehsalıdır
Mənzil 3 otaqlıya uğurlu çevrilib
İstilik sistemi KOMBİ-dir
Binanın 2 mərtəbəli yeraltı parkingi var
Mərmər blokları və 2 əd sürətli liftləri
Sənədi Çıxarış (kupça)
İPOTEKAYA YARARLIDIR
İD:443539",43,İncəsənət və Mədəniyyət Un. Dövlət Statistika Komitəsi Elmlər Akademiyası m.Yasamal r.Yasamal q.
